,fix,nuc,entrophy,la,ns,ndev,lt,sexp,age
0,0.0,0.017661655953231856,0.0019045689647150016,0.015095635830131257,0.0,0.01414643159271669,0.025345313878715622,0.0947461931704225,0.07624255041370943
1,0.014512204387839343,0.026511320746415552,0.01477179242212544,0.01690653829897958,2.1865008213175655e-05,0.0040567647925950885,0.01896939605976654,0.05067656370350449,0.17084218375787893
2,0.0004493839075185565,0.03435100760563609,0.015171038753835964,0.03284632692950205,0.0,0.004442476724511939,0.004007828040800285,0.026481403324957253,0.053917470272183673
3,0.02399502368296541,0.011070998649853727,0.02471997240884573,0.013096941305728124,7.235967311714564e-05,0.0060802002647766615,0.04311986978693384,0.01455497647600334,0.10432396952180784
4,0.003549300727342937,0.03862748676475882,0.044173399478714445,0.032258815352938196,0.00027028269551377136,0.01025039678925313,0.03524267957691417,0.029194150398928472,0.07949208232432979
5,0.010060251162581768,0.03515784118262532,0.0937592803607468,0.09132311904285793,0.00016400613222095816,0.020764692633921524,0.063118463971666,0.061977644715016905,0.016026470440234652
6,0.014401118928991057,0.037649125330239716,0.06539378214075657,0.08015899269933169,0.0,0.031401156674662284,0.047954732542423696,0.08264625433253256,0.020089430798390817
7,0.00011001635517579256,0.026438198730867387,0.018237609175369315,0.04035638867187789,0.0,0.020059783654079465,0.03577698767355723,0.019262936527190445,0.046311464566937355
8,0.0,0.0024602256576437198,0.003871024921439223,0.04140182134732434,0.0,0.020765640950325705,0.015277160290514473,0.007087549465535025,0.038781118517306416
9,0.0006569614223939042,0.008051351439489842,0.0777664419181792,0.09352450152622632,0.00020482043659017705,0.018613895175422477,0.0518493190567106,0.017438576464060798,0.06250346869926861
10,0.008692418790687393,0.012106639196342805,0.07668186792317984,0.028518610040271918,5.051774181964827e-05,0.025814022950183542,0.05198078568983866,0.03966724894214745,0.09096965352372084
11,0.0004904870747361694,0.008764091525726226,0.04270447320751933,0.007171340206901299,0.00025969890612211234,0.003721114983416535,0.005232681909274436,0.04999092227877263,0.09143575793522218
12,0.006847993376460424,0.033335258321962255,0.03897645143947433,0.055103222109571394,0.0014180890984273693,0.01755781957643683,0.03052671368090122,0.14653899886004268,0.12520131479854363
13,0.0031000274885391757,0.01648964111956084,0.014960625686797957,0.046144748278596194,0.00012800686144441275,0.010913122068239701,0.014754097466969944,0.005720948939083933,0.056100620082871436
14,0.008638584088445452,0.023135216325343468,0.0187708087441706,0.059141123384775604,0.0,0.005617365317518461,0.020731026154236193,0.00684093161250301,0.06609031790577388
15,0.011828682523417303,0.047437272044065976,0.03030380903051748,0.1494052860508948,0.0,0.016688842297115047,0.07935805150943422,0.04699634079351345,0.018767212248584235
16,0.0059846254306835794,0.02720628368321499,0.056666735578589714,0.05735954296273225,0.0,0.017742552335660595,0.06728052355264692,0.006839530727801129,0.04427928528348132
17,0.0,0.0247823396040525,0.02435057850279089,0.022963714763951273,0.0,0.031920322977349154,0.011545234110117954,0.0055441835548210375,0.02714283281598366
18,0.01530648473117624,0.05356645000902088,0.050715821853942314,0.05678857675945262,0.00061021515590837,0.07673907248477121,0.07172359709785626,0.021857360719893793,0.05975518738350994
19,0.009244134768875116,0.05612973742022568,0.06274400683409224,0.04680100141387362,0.000493896882231198,0.07969406408274779,0.06331574314358272,0.039703721347046916,0.05108240530490049
20,0.004447878093008261,0.018294969198949632,0.010244527450591822,0.08538367440896333,0.0,0.0529548612456366,0.1107067223304151,0.052869996072730054,0.010247015770896834
21,0.009345931144427725,0.05764457313139103,0.03553546024593628,0.07673063133100316,0.0,0.05114396375028519,0.06442801817744966,0.050307236404290356,0.03194359264621371
22,0.0022139449073075904,0.02561954971475448,0.02405869950405484,0.01460165300779077,0.0,0.011140671220662998,0.0727520643528523,0.021519859182771193,0.08695096666610987
23,0.0,0.0030058897279917353,0.021086115567687337,0.016145164422299112,0.0,0.0008131301140601911,0.05966886972683775,0.030027009918398736,0.002364932269374485
24,0.027616863958861697,0.035657684529082696,0.02070979591347533,0.08858472116031772,0.0,0.07643394350699434,0.0805213843731482,0.06074145418543437,0.054399201013255474
25,0.013721791161462278,0.005917411890753601,0.0025285736193477416,0.1450915951366045,0.00021651387759929428,0.06584355590099981,0.018886662775031923,0.027364689437419296,0.0005580908150202138
26,0.005189463877557359,0.011911746771201862,0.013719837448323334,0.06892937548394466,2.0871253111365143e-05,0.022374948971006312,0.03402149891267664,0.08102650998490164,0.008684795037608644
27,0.013383983923976158,0.024537129265450812,0.02434510598046862,0.06817755848659093,0.0006872844570393927,0.035635237892428555,0.06041890377827981,0.12943235302797637,0.04978929827975138
28,0.02153306200696035,0.02978418959185522,0.03777809519420768,0.05946345044660232,0.0008858673829157958,0.10090583617394283,0.023875650159649712,0.019039702928513716,0.0599018420295729
29,0.041470712689092935,0.07468371641116063,0.015212215374098307,0.12116321835581072,0.0006377951050439661,0.049284099034313036,0.03024231930323662,0.06443715677207894,0.046822385486007
30,0.026850788257878448,0.0054837619668212335,0.0035065041573256223,0.002877487908632342,0.0,0.0013936349353110477,0.03926491290058138,0.03951852306824056,0.008231307936195358
31,0.009829857298153015,0.03783372572847111,0.02599887628579497,0.07290162371651308,0.0,0.017827125013841632,0.027678953138444706,0.17868279119758104,0.13676912805043634
32,0.006610927969128522,0.04017860400472632,0.026487635736243027,0.06634671470989824,0.009861822861289931,0.01651844793939339,0.02416106779178039,0.11378025608582504,0.06257632835955208
33,0.006524166997329348,0.06840010342149155,0.028297925193899644,0.12981600898493045,0.007038749764554091,0.005257759316085444,0.05562288423341079,0.059181332246320474,0.019396985011730438
