,ns,fix,rexp,la,nuc,lt,entrophy,ndev,age
0,0.019224481305182062,0.2901782491659485,0.04589975604937736,0.011332423719629909,0.15688218670497567,0.2409017462256479,0.21954585663345585,0.09521725305274077,0.14132329523398585
1,0.0,0.6069803510884968,0.024214692946056396,0.0,0.03930165780760444,0.1251812273227503,0.0,0.014334389852216826,0.14798712932445032
2,0.46873276057336577,0.15823193360794996,0.054442954658243184,0.05668805058698917,0.05336360190114955,0.14209129323774936,0.010826522498671224,0.0,0.12486337406250667
3,0.3308422744121547,0.08990985818948755,0.012742977354788262,0.1215236037030459,0.1716767937499818,0.3095664584092488,0.022843830018554282,0.3193053394020716,0.1687433289786861
4,0.135894524323802,0.022796990030125898,0.031218763834313205,0.27811560199604135,0.26049118361336854,0.418144496505935,0.1838608969544435,0.41477411498197714,0.006478285202725404
5,0.043290460787012666,0.10880048997192292,0.22449521250635085,0.549854877158748,0.186040210517567,0.7223823747979974,0.2898729942450365,0.3151231222302556,0.0
6,0.023920077486542117,0.10813505545058905,0.06320993541318552,0.21317124817247926,0.10379135892448704,0.6600971148468463,0.23154506199836083,0.4102001009580724,0.014344271888768446
7,0.10723420572019061,0.07668330398333,0.10180084467826761,0.16873934721362405,0.24284370841834926,0.3620063671109411,0.5977322767475097,0.0,0.03526765233743473
8,0.28113119291544075,0.002974008907964736,0.11286385234131306,0.21448953382333516,0.01185623355522742,0.3201560394527688,0.2279100313908813,0.0,0.22529940068588294
9,0.05427283819284863,0.392269036810219,0.04954276697073637,0.0410898014038379,0.025144770145284195,0.15409712589478147,0.06829797694290124,0.08472765528683171,0.20486314815731205
10,0.09850714063373243,0.4998061543061926,0.07637513315526813,0.057028028531634495,0.1431301758886999,0.3106794789615677,0.07071640727986776,0.0038365234218892055,0.1856660789374388
11,0.14709074238413056,0.28114438612360754,0.61744507375665,0.07875737014045785,0.1095993794734182,0.07459238766655124,0.05819318511141695,0.8463060252698845,0.0
12,0.3951696101623352,0.01393473060708196,0.4175804743341298,0.0,0.14758949210950956,0.2594554175154746,0.0,0.2732124006632329,0.0
13,0.35895068449748885,0.09400183796317933,0.2966050559945078,0.14509070203498164,0.0,0.16434694877914466,0.22841210242239363,0.11809262587760848,0.0
14,0.3422590697831107,0.0,0.12479375759863792,0.14464825422661157,0.009856038993567557,0.16236030060379403,0.5950498444042305,0.21143290804356774,0.0
