,exp,entrophy,age,nuc,la,ndev,fix,lt,ld,ns
0,0.02328777189888291,0.202248677248677,0.008337007642563227,0.2535181510875951,0.01567827748383304,2.2792339003806383e-17,0.0015946502057613149,0.004462448559670781,0.0790674603174603,0.0
1,4.9603174603497086e-06,4.960317460349795e-06,1.2896825396846012e-05,0.000325396825396886,0.03498313492063499,0.13345039682539694,1.2400793650802887e-05,1.2400793650799678e-05,0.004075396825396821,0.0
2,0.016369290573372105,0.004911564625850376,0.018985422740524723,0.004726919339164231,0.030845481049562747,2.3195731050204164e-17,0.03280077745383872,0.04342274052478136,0.043963070942662864,0.0
3,0.014904036406806537,0.005530273051048684,0.22529899309677734,0.004025964032889247,0.0020297454161720078,0.02471254891615002,0.0032773820516202794,0.0038880094974277795,0.0008782922217825264,0.0
4,0.08577709683478905,0.003756046304123231,0.0016900300554146713,0.0046265966939043855,0.0012500587019817781,0.007255271437963739,0.07173382173382163,0.01150030525030524,0.01889470038508499,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.035968787320138626,0.03218778624184042,0.1784549027792272,0.050925829304207706,0.00508307535334562,0.08890801998910121,0.043584124665205747,0.00835739214117592,0.07808967268426721,0.0
7,0.0005996472663139259,0.35107583774250467,0.11107583774250422,0.0018165784832451502,0.0044091710758377475,0.0005679012345679008,0.0002151675485008876,0.0003104056437389793,0.010948853615520263,0.0
8,6.908279307047393e-05,0.005722568901440197,0.23688354783582719,0.0003402686046962878,0.09625898540235862,0.022177263579112847,0.013620950558988593,0.002513888256262576,0.04785438460643044,0.0
9,0.0011421090294041138,0.0010695420244600526,0.0023245186052563106,0.0024602524069737204,0.22681176814988288,0.00321555425448868,0.04964962269060629,0.008343676814988295,0.07827927400468376,0.0
10,0.013548752834467156,6.014740623550536e-19,1.1771337872699763e-18,3.510749891857824e-19,0.07572751322751282,3.4720283856976275e-19,3.779289493575244e-05,1.4172335600907139e-05,0.00026927437641723393,0.0004724111866969009
