,lt,age,nd,fix,ndev,ld,entrophy,la,nuc,rexp,ns
0,0.01595392941604512,0.0025081862834273184,0.018521693651082406,0.0063823449154084095,0.0018480534837183866,0.0005728124431508113,0.003465299254138616,0.0008502364926323492,0.02857740585774059,0.028312943423685656,0.0
1,0.011131162696789225,0.000645346396824809,0.00667472508399351,0.0007242746096095332,0.0028883758658371024,0.0012027940569614992,0.0016522766357258776,0.0006897119691406967,0.015596916194230879,0.01131847219491807,0.0
2,0.008807109940750507,0.0010669299978055696,0.002338819398727225,0.005561553653719549,0.004161070879964877,0.0002633311389071755,0.0020873381610708713,0.0006372613561553667,0.009154268158876456,0.012660522273425512,0.0
3,0.03230512146775457,0.004180380767989671,0.01392730373853318,0.012254644355322017,0.02924653113907712,0.0018393030009680505,0.009757986447241056,0.001398377356751025,0.044815608721707506,0.039902733600700714,0.0
4,0.019879865639201758,0.0034631495751827677,0.014622406639004161,0.011303694921952207,0.011720608575380403,0.001712507409602837,0.006944674965421846,0.0026664690772574477,0.026863268128828305,0.0239575182770204,0.0
5,0.052438630490956026,0.008319182970345784,0.02840854558877817,0.038047096099421716,0.028987018580041903,0.003160914236495619,0.027446782330503357,0.00498338870431892,0.05573643410852717,0.0604286637135475,0.0003160760428202302
6,0.07277498093058725,0.01289146779993465,0.03320322545494179,0.0552015909338565,0.03630663615560651,0.004578838400348712,0.02073880353056565,0.006942900730086101,0.071933638443936,0.06280767135229387,0.0004265010351966889
7,0.028116711874623265,0.0054088494575045476,0.020731238698010898,0.03817039632308609,0.01540225663050034,0.0010396888185653908,0.007364941229656456,0.0031907399035563627,0.02875725210970465,0.02868915762507545,0.0007223854731766068
8,0.012972174229335297,0.0027299869661422792,0.01923691309751144,0.028956685156557943,0.009871934770088821,0.001412657997635714,0.008522021157285344,0.00204752811372798,0.01678518383801646,0.0167991270346458,0.0006333545512412494
9,0.01661168170972092,0.003320883909119201,0.01845782757547463,0.01453418404398797,0.014707957256976859,0.0014503579209461568,0.011633468202095645,0.00395943562610229,0.026794273264861522,0.01640004149808071,0.002099802884116606
10,0.05801129426129425,0.007103683353683349,0.024119352869352875,0.0367877492877493,0.02994454619454622,0.007767602767602753,0.023992673992673973,0.012747761497761502,0.06640059015059022,0.048294159544159505,0.0007188644688644676
11,0.02306223749522719,0.00731167839415263,0.014624447717231231,0.015439644357170148,0.017162766595756277,0.0016977581410571084,0.004705176457753773,0.0025988654339169754,0.020023454971908602,0.011855670103092802,0.0010399279986908897
12,0.01626884843069364,0.004637923973342265,0.013615734018392365,0.016272013105476782,0.013305782046986141,0.0007291783015004327,0.006309244573513547,0.0013001228638445158,0.014171413678841404,0.010335641684351641,0.002076771287091846
13,0.04703771146616541,0.0008495848997493759,0.01739896616541355,0.034943217418546356,0.04380521616541353,0.0027516055764410896,0.010754620927318312,0.0052279135338345875,0.05809425908521308,0.049248511904761975,0.0003516604010025048
14,0.021965165348629342,0.000596103587550489,0.0033077871680865264,0.025667831970041504,0.008268913552591392,0.0002470556290941185,0.0036507144554186665,0.0007581260111552372,0.02507361775786582,0.014554084784305726,1.4051522248243557e-05
15,0.0661311080665919,0.004127952837630248,0.019804666417569686,0.06803960642670312,0.036743679163033956,0.003010337526466552,0.02042657865238515,0.006367542657865243,0.07145451903516427,0.04366317930834067,0.002253912899074186
16,0.04361744296874293,0.003501509847411892,0.03679715107763536,0.036842440137381416,0.018698248118894277,0.0022151236700553795,0.013071575547725305,0.0036751263932525815,0.06004069525514695,0.0275337950043329,0.00017882752363391574
17,0.020778483958463732,0.0009191904601409185,0.025567440255509014,0.012577094066477303,0.01015247885470332,0.0008345450751921972,0.0034032612708042405,0.0009938369685589083,0.06923076058869791,0.013687434798658256,2.2148394241417502e-05
18,0.008585884353741507,0.0007701247165532925,0.015654761904761894,0.004522108843537405,0.005481292517006796,0.000162414965986394,0.0015255102040816308,0.0002718253968253951,0.03272987528344668,0.010785997732426307,6.122448979591845e-05
19,0.0157857556935818,0.004828447204968943,0.008712077294685993,0.011674092477570735,0.007866197377501737,0.00046492753623188476,0.0022447757073844016,0.0007713319530710859,0.026899958592132508,0.011719544513457567,1.5873015873015877e-06
20,0.029003969443849493,0.004415406582423065,0.012507489112586576,0.02861690583279788,0.018758692082530174,0.0012051260084243636,0.009262140358392242,0.002786449632326684,0.04426112657956736,0.021021275076747333,0.00011001642036124794
21,0.01042770299609209,0.0017904182949775636,0.006593332368408363,0.0020695228445988265,0.003503401360544215,0.00019563853910358397,0.002814203695662658,0.0002513629565301286,0.01822526173590006,0.00927317026101223,2.7017899358324906e-05
22,0.011085619811453496,0.0034431144344610008,0.024471275804538783,0.004230497095419012,0.0072124163299764794,0.0003743894349635183,0.003224718084785623,0.0006269372248688447,0.03232527286980639,0.014656947878349327,8.784096162736934e-06
23,0.012341670675004015,0.0026944043610710212,0.029563358452247328,0.005398161509272611,0.005801934690823578,0.00028138528138528014,0.003349099460210559,0.0009871198760087693,0.031033082144193255,0.01079926246592915,5.878894767783659e-06
24,0.027962618272064567,0.00298381676231838,0.016257432397497558,0.010878444754666271,0.01421720696964997,0.000847681091980768,0.008482756837805704,0.001468641745514707,0.0710640608034745,0.025518587456698272,0.002458766351274491
25,0.016956241956241958,0.0012481231231231253,0.020033783783783794,0.004717127842127834,0.006818157443157443,0.0002549871299871291,0.004388138138138131,0.0005512655512655507,0.051202005577005584,0.015611325611325626,0.0001289682539682536
26,0.04207091031034691,0.00323730260349978,0.04839156149015303,0.027865983781476773,0.012551978537894063,0.0006664227790988379,0.005571306627644645,0.0019062862020608443,0.07713919882933964,0.026579476861166993,0.00022651057862325383
27,0.034039095928226376,0.003541005291005275,0.029369277662755936,0.01300209339774558,0.015621693121693142,0.001401449275362313,0.011282781228433411,0.0028645617667356783,0.08020774097078444,0.03924735449735449,2.5661375661375658e-05
28,0.07527072224728289,0.009303767576174661,0.04101610241700108,0.03287197682084733,0.03425230654159479,0.003945487352094091,0.021321784239564174,0.005091162851668074,0.1030309865019605,0.0803837745931503,0.00020683692471401972
29,0.07326916813236924,0.006021106116865347,0.03242150348511493,0.03964318285453708,0.03424500032571168,0.002380300957592334,0.034847892645430256,0.004027913490977776,0.07982720995374892,0.06946860139404597,0.00025258940785616584
30,0.0060011207548153625,0.0008808350926577509,0.002415356947376638,0.00391117366486823,0.003993145150780603,0.0002463054187192119,0.0014373028905048512,0.00033648708525555935,0.0058492975734355185,0.005720150129017133,2.280605728881591e-05
31,0.07027849074866277,0.00692283000675315,0.02547937569676702,0.037721190729279645,0.03901960639068822,0.0028589576921225087,0.03287469243485418,0.0033836795717483307,0.07989807294155128,0.07864968870024487,0.000168668540761564
32,0.05572654061624651,0.004731753812636174,0.0212212107065048,0.05206193588546529,0.03926139900404613,0.0031907485216308676,0.04760426392779333,0.004765795206971679,0.0732450202303145,0.05552015250544672,0.00021864301276065985
