,entrophy,age,la,fix,nd,nuc,ld,ndev,ns,lt,exp
0,0.004169082125603863,0.024728548424200615,0.003014722797331481,0.010943179204048796,0.060772716816195116,0.04898021624108581,0.004781458477110639,0.009148148148148154,0.0015491143317230246,0.01997791580400279,0.006446974925235776
1,0.0045664644236072666,0.002300790586504862,0.010817981246552715,0.2789209413495125,0.0034269167126309884,0.007226879941165668,0.01814947600661888,0.004864129435558001,0.022083838940982096,0.05374774774774773,0.0007663173377459109
2,0.030503574095807104,0.020549628365162356,0.00946317436608701,0.00777837049681711,0.014308830328247825,0.024543547067818937,0.022754187560012833,0.057314627120452405,0.0378505636758071,0.12485134606493835,0.06996194743767552
3,0.019200426439232417,0.01718742596541107,0.010446132433072778,0.010678749111584965,0.05331452854773754,0.012534648187633324,0.02102552712627346,0.013903103529969204,0.012648661454631652,0.016510157545605312,0.0054388770433546705
4,0.0021278516984038335,0.0005521472392638064,0.0026429500969378066,0.001918705016864517,0.002442567657291565,0.0015225878416062304,0.04458037872148325,0.0015730486282633396,0.08384803335723594,0.003502509760178438,0.0002333147425171966
5,0.0015481784819190742,0.00124999999999999,0.0013549498746867033,0.0010790368779090567,0.003922529538131029,0.001123903508771921,0.014820085929108532,0.001247538489079834,0.06420907178660883,0.00357534461152883,0.0002956050841389214
6,0.0021328524347591932,0.008094985875706256,0.033321310868980235,0.0005141915523271437,0.02609101762173798,0.0030639628732849083,0.050305521926284645,0.0010414144471347724,0.07572899852031267,0.0073731335754641135,0.0011108588915792132
7,0.007597160424496418,0.004625397785361548,0.00593358964390115,0.00801618500439187,0.056018114533385094,0.00998610451135398,0.0506766310999754,0.004546848675968764,0.057692052932452234,0.013508358892392823,0.002069851829452653
8,0.0038561204828752383,0.0010626794070229138,0.007373481184381269,0.00658241909480562,0.03887096457079943,0.003998073217726417,0.03407013094255048,0.0018051787188863723,0.07897988675239015,0.013768235617946614,0.003953540953953856
9,0.007086595644547122,0.013630043212253454,0.0027585247935652166,0.00816797159115219,0.0637348650151885,0.008273007316134012,0.02660355966285883,0.0015278312582894733,0.05559983741924379,0.009300902751037543,0.0012276986266204564
10,0.016297341198597937,0.0530424467812259,0.007661579892280075,0.011423869368214077,0.047614559288706476,0.016299051038727887,0.00276160553988201,0.005461229375053436,0.015478968966401644,0.017530990852355335,0.00330704454133537
11,0.01911577140053962,0.07660622306317678,0.004753320018220676,0.006725007883948288,0.027735204457058734,0.014107712253407588,0.0014483688987000152,0.0019294649427099688,0.01932075405585386,0.017609762079960754,0.0011344125582536128
12,0.007613254203758666,0.046918326974706805,0.004060618906316226,0.004826904055390721,0.025080401299985983,0.006576515472657935,0.03169690546841881,0.0012472799208704188,0.02654768969902509,0.017446092977250267,0.0013916913946587478
13,0.001284464038955049,0.0058059704766291725,0.0024491675988681867,0.0022558180342611453,0.018204908863591402,0.0022553793511877304,0.039780110109451504,0.0012362089008795517,0.03472670044526362,0.009341207694501173,0.0021250904783838794
14,0.011163743089208951,0.012619161376925411,0.041428343912815906,0.007435556162264278,0.03932006916478972,0.008442654653834824,0.03510977635201238,0.005849202557277121,0.055308625122289554,0.010299524492071112,0.004562487202238753
15,0.006873711605854478,0.026109436198721955,0.015309214594928911,0.0060182178932179,0.049114357864357854,0.004573155019583595,0.049605493712636575,0.0011764326942898312,0.02969838693053068,0.004696969696969686,0.0018156050298907306
16,0.008832911219111525,0.026045360166107735,0.006805622105095076,0.013190384922536415,0.04989618271841549,0.0059358386382823685,0.044150523649804846,0.0021635065142491905,0.055763228147032544,0.009436990896023028,0.0007609464485362853
17,0.03703408466190213,0.05675357993664759,0.00363019974344878,0.046818110421738814,0.07095395167412759,0.009185973454802517,0.004068692897719814,0.008633602973899871,0.05211707112751643,0.01798973795125532,0.0016387863556637516
18,0.01585975537347109,0.07154653049914897,0.0036391164944780843,0.028405375450263268,0.09641333174999002,0.010010687566797303,0.006621541384633645,0.012033606460040381,0.04346059454538266,0.01923603689189726,0.003930451648656125
19,0.010994368356159844,0.041835949215235486,0.042141024359358896,0.01734879536139157,0.08444250058315848,0.005576493718551104,0.016946416075177453,0.00837465427038556,0.08095454696924267,0.02386000866406745,0.007861474890866096
20,0.014626974919898382,0.04920050270688321,0.06112169925975017,0.011547895260192254,0.07029582366589342,0.008377665451331348,0.013491050712628475,0.0069322450557949685,0.061085239200088584,0.027770550215445836,0.00836716937354991
21,0.006721289310727162,0.01672412860658178,0.059891295530136994,0.004467970038668508,0.04692747627159894,0.007508450285281668,0.05322652172737342,0.001428030610313391,0.054354262999918725,0.01982004272464241,0.00322706254563151
22,0.012908513129285891,0.010461376723293428,0.07220008123670936,0.009228251260363671,0.04739289895586931,0.014350942584760962,0.060423625546555816,0.0023231309583542285,0.07492186940004301,0.02277984851743013,0.0025122452392898763
23,0.03593260753250976,0.02214181031474637,0.0061941982459813826,0.02352641496266308,0.08926559192313938,0.027879824132877408,0.037319073208179177,0.02337392700118641,0.04284225463512224,0.028332053876753374,0.005830251006118172
24,0.017430202217873454,0.01184594477060233,0.0029440095672972136,0.008403022396173089,0.1085779517286366,0.021718525766470945,0.027730593607305794,0.013637747336377506,0.03778430093498611,0.0245013046314417,0.007794955425092504
25,0.01015926352619906,0.0049858124253285814,0.0026205410479603723,0.007956029185867911,0.0809160052910052,0.013526945724526434,0.0006540151903055092,0.004726382488479279,0.08879085594811395,0.02071865932753041,0.011034412869090347
26,0.0187389679671559,0.012642279420802968,0.006237308552744819,0.028022100941564074,0.09520650490449166,0.007956584802222406,0.007399759077611454,0.001166629790790858,0.08688644688644684,0.024561545836713685,0.02113762076849329
27,0.014826139088729012,0.05082268878774528,0.010103264327313727,0.02657306807615137,0.0844101453531052,0.001216536974502022,0.005020432633485078,0.004595384916556569,0.08921450594626366,0.03146295208730983,0.01672282582097585
28,0.018396066887956457,0.03339627565186527,0.015844971921254343,0.04304492599319431,0.06702594935387565,0.010507713826433734,0.03721070541324819,0.007991586814471542,0.07816715726185264,0.028989373917037275,0.01332957558297323
29,0.03756382098293865,0.036793990323402165,0.00846622740005099,0.06365681499872675,0.04974511395467275,0.015502530557677675,0.03945744206773622,0.004354469060351443,0.06419674688057035,0.026775607970460906,0.011078590527119968
