,entrophy,age,la,nuc,ld,ndev,ns,lt,rexp,exp
0,0.008920434687636534,0.01739231105286151,0.023416193388670466,0.013699996359400042,0.002609582059123346,6.686120622179817e-19,0.0025809851463521184,0.002055810397553517,0.0016083624581331008,0.029753458569972344
1,0.00019096419581856366,0.0002235192890532695,0.0011551985411208721,9.925771818975706e-05,0.00010147942672214514,0.0028452766219756506,1.9456002465711176e-05,2.5260697590794688e-05,3.2978887347819424e-05,0.0029113756613756586
2,0.11135704400384093,0.008369781957860246,0.06050916511325758,0.016427215726148123,0.0474832655482121,0.006904790148562392,0.0790697480652996,0.013164816697734822,0.0056317290854657415,0.02015356154324125
3,0.08704237919845653,0.05335178607968674,0.07212117425238979,0.016706751147358877,0.05081375515215297,0.0025314025548832174,0.1253919801806542,0.012548576398023903,0.007022092139495454,0.01340479844485367
4,0.003451181457431461,0.0007630772005771984,0.008057431457431445,0.0005897637085137083,0.013870616883116861,0.0006284271284271287,0.0014179202741702744,0.0009241071428571435,0.0006803391053391058,0.014408892496392463
5,0.00021150655384104942,0.0001519550909794806,0.0020930811348929797,0.0002275593164094911,0.004639580222332834,0.0016205132459487846,0.00014519384989768262,0.0004440296443780763,0.0030908412145345997,0.008705699352911881
6,0.028603351757369628,0.018658470332577472,0.12242987055933487,0.02119912131519275,0.09543144132653059,0.05425337773998492,0.027261963813303106,0.01340634448223735,0.008887412603930455,0.03299534674981104
7,0.005418696405765377,0.029982040229885064,0.09821856185002723,0.011230386790731616,0.07361242245940516,0.07041527549717207,0.0054415708812260545,0.011335568326947631,0.0010115968801313632,0.026770388615216186
8,0.006553537988228989,0.010448044854645972,0.057043595059746745,0.005400971999286602,0.032073613340467245,0.12911709693240603,0.0026132289994649565,0.01208461521312645,0.012165496254681647,0.00748013643659711
9,0.09216665576487001,0.02609872667015525,0.11284618655154358,0.013713718820861677,0.10064998691784409,0.026810657596371874,0.06399036281179137,0.03468974577010291,0.001384746206174779,0.013616245857317275
10,0.10858231730695468,0.015578310712368686,0.10200397464407118,0.015784449045318616,0.1430318802239092,0.008766256422053531,0.06386707307721787,0.018065434654806638,0.01644571607494314,0.006019157528819361
11,0.054468598727907144,0.008540787177755242,0.09510787459191701,0.011037248114375774,0.18629666216368343,0.007116212146797237,0.08120555414837313,0.015535869075762702,0.030304218732410258,0.005947723179106156
12,0.04556373305057508,0.023806262450999295,0.07272998200629777,0.013617071524966258,0.1163607255317783,0.003793474069789861,0.10300951095687935,0.003553226013752329,0.015283513270355384,0.07344765760555219
13,0.08941224229155256,0.025277869002006945,0.09914251505199784,0.031808246670315656,0.04405509943440978,0.04411831782521437,0.048749293012224,0.046069193577814214,0.018492405582922828,0.10359904670680511
14,0.0799666616115659,0.006871448791830964,0.22934622383985426,0.004829263977353149,0.06238360630876551,0.005268729147710046,0.04912592255585887,0.02212405216863816,0.005048731169750276,0.06261083308057827
15,0.08046608187134487,0.015437406015037573,0.1498672096908939,0.010738847117794477,0.061768379281537174,0.005346073517126149,0.06129406850459477,0.04915417710944031,0.007120697577276529,0.09904097744360893
16,0.023289322916666622,0.022367832341269805,0.14932911706349183,0.009226748511904753,0.17441656746031736,0.04341780753968251,0.03927999751984128,0.08107597966269829,0.022842274305555563,0.07108178323412695
17,0.07475824514991189,0.026785648148148097,0.11323710317460317,0.01162419532627865,0.12416212522045854,0.011370271164021171,0.1418980709876542,0.07960328483245148,0.18482196869488518,0.028956194885361546
