,nd,age,lt,ndev,entrophy,rexp,la,ns,ld,fix,nuc
0,0.013246121330019539,0.027393325979941867,0.013150341888328391,0.0,0.0,0.004779318489724985,0.0,0.0,0.013488888660784551,0.0,0.00963470389983418
1,0.0,0.008874541171950091,0.0,0.0,0.0,0.0268017590617878,0.0,0.0,0.0,0.0,0.0
2,0.006358261536115932,0.008884568358416663,0.0,0.0,0.003202803475663008,0.02826323871588907,0.005713165768710543,0.0,0.0,0.0,0.009083057105128382
3,0.0,0.020562948524816483,0.0268338912348751,0.024556330083919817,0.008786051893368107,0.01296930667017361,0.013598278991915543,0.0,0.03431330144430995,0.0,0.009612081713768584
4,0.0,0.011935094626961806,0.01890532975177113,0.0,0.05556301882443605,0.03960125996311829,0.020454450433685035,0.0,0.01284201582181409,0.0,0.015427160635331727
5,0.0012450550910297303,0.052679678688797624,0.032118745949279624,0.015453401950735291,0.025423393541219738,0.06824020158023823,0.024001179644370027,0.0,0.014412317843391642,0.0,0.019629129934264664
6,0.05540486046184652,0.026096120052111076,0.057000201887082956,0.023121490122764807,0.005773421862197536,0.04976755706153935,0.043821800212592195,0.0,0.0622120406599273,0.01119331963957783,0.018682029273277678
7,0.056922565365817454,0.032049305382156175,0.007187516735858732,0.007244554506927802,0.03609977633341403,0.019501541913437056,0.022376751744795906,0.0,0.012625813718150131,0.06341079342062317,0.0
8,0.025514028496338104,0.03840391582480617,0.022289438154895706,0.012780082612483508,0.02241822402832053,0.11788254822063973,0.04347344181138987,0.002748029873401424,0.03577890924612671,0.01604371635667544,0.02175452286059094
9,0.0036251150910061643,0.05678292683204866,0.04146995279743479,0.022824407811631423,0.016963709548244242,0.10906887690356576,0.036897454756821095,0.0,0.02570127710096804,0.0,0.004217106127884512
10,0.008087098315848728,0.06661357810814045,0.024339885830008977,0.007496178256763189,0.01737013852484581,0.07516991445763335,0.026551775216704848,0.0,0.025911593942551242,0.012349328972610733,0.013372081618869004
11,0.02249607683002453,0.05364382810497954,0.020836604608396776,0.017855718544027482,0.019638439973384252,0.09123868578576183,0.04159015115125662,0.0,0.025637118292153985,0.0033047981773043256,0.010603668135598779
12,0.04825691786258596,0.015297738324320498,0.017988711551316133,0.03420695569512225,0.021400884416010003,0.06513790171820814,0.03326749518011181,0.0,0.023115391227186536,0.019025891365361147,0.012330818370794255
13,0.023265898258316535,0.0,0.04781334569729891,0.08220440124096724,0.022968414175581237,0.020593164248432827,0.0340045448783243,0.0,0.0367501622497863,0.0364179117412598,0.03453975577240328
14,0.009434914114244247,0.045948333785490084,0.03312196405063932,0.026984140159672192,0.003959441713648384,0.08983194686435304,0.04979789116294649,0.0,0.0408767568180339,0.0,0.06226758109860757
15,0.016933844319393817,0.07178537705849991,0.023807935828056733,0.0,0.012211562153854431,0.010351933051341246,0.051949180665742195,0.0,0.031295771662584626,0.0,0.007986544808112271
16,0.08787437240315348,0.02624010425575237,0.04684759704818233,0.030901361520789015,0.034008175402400115,0.031014349766723213,0.07774480048012615,0.0,0.03865997268651835,0.0036254284620115037,0.04102723584769893
17,0.09091138276449877,0.003928032946645939,0.029031148290135405,0.012711392848815986,0.02535980876933271,0.016190417278207428,0.042257762307578536,0.0,0.03819759391382182,0.0,0.02086617176659666
18,0.07921678076328748,0.013904624576280897,0.03225345148780205,0.003373421984943923,0.0418389715828366,0.07926200188071404,0.0336031914142874,0.0,0.04644220483797933,0.0,0.04703749624516143
19,0.05075772016932563,0.0,0.03607415486142081,0.0,0.020167595611299965,0.0,0.038598353935705744,0.0,0.05523273405212755,0.004579691598899192,0.043840656985182934
