,ld,exp,age,nuc,rexp,la,ns,lt,entrophy,ndev
0,0.015339303917285592,0.007887450851900355,0.0038674457550604393,0.018941349934469196,0.05039349424785202,0.0380255752147954,0.00010686981214504197,0.11439256589485955,0.0005997524392019805,0.0
1,0.09240560949298818,0.00243779216109313,0.023687638054142892,0.02765530127908767,0.023520907176247,0.09755803410900507,0.0015636718549339914,0.028743617403811584,0.009440578928443006,0.0
2,0.04897507484607125,0.003844560244026434,0.02140323673953567,0.02433762639100716,0.010439106366152627,0.05825543693159354,0.0007104586793198898,0.017103513528780433,0.009769940123142966,0.00016511325763994797
3,0.03115451343213774,0.0069421204946066815,0.01947428308339908,0.030467391622087763,0.024873512818264203,0.055737905229617926,0.000513066736823643,0.02994952351720305,0.004275132275132268,0.0003904454967990882
4,0.05812046356421356,0.008559045815295806,0.056123674242424273,0.04279944985569985,0.10642067099567104,0.11937879689754685,0.003942397186147191,0.05032860750360753,0.010921275252525248,0.00048211580086580095
5,0.06462585034013597,0.007418588573640836,0.03813749239533214,0.03005642663569494,0.04597187655550023,0.07959731209556993,0.003917164426746307,0.02264461312980476,0.012690932470549194,0.00018123997566506277
6,0.07367290249433105,0.04034639550264547,0.06321487622826912,0.07855634684429322,0.03290680508314433,0.11300087396069529,0.006280068972033261,0.06243820861678008,0.014019699546485258,0.0006815476190476192
7,0.11648296387520514,0.01725287356321838,0.03510971994161652,0.05013925378580554,0.023750022806057276,0.1387091315453383,0.0017169426199598623,0.03476744663382592,0.012515781791643844,0.0005380291005291008
8,0.10693188202247178,0.010174502853575887,0.0725445982700196,0.07255697119671836,0.039064528714107365,0.12150375646513277,0.0031864744961655096,0.05528272694845728,0.014836822275726773,0.0013254637060816845
9,0.11903228021978017,0.00476174123495552,0.12403105921855916,0.060426238444095615,0.03217017704517704,0.14107502616431175,0.0020186529740101166,0.05627833376940521,0.009972058695272979,0.004330520669806382
10,0.1308700253048078,0.0066342880147227945,0.06866580400276048,0.05286075326534259,0.031426405183651585,0.16197578150959782,0.0019771937223628027,0.038973206298085525,0.01221792807300054,0.0032235897042660355
11,0.1144955744117977,0.011705300855566795,0.07431378053585488,0.07256024850838683,0.052536227907238615,0.12552129066756726,0.004621278002926948,0.05623457728244962,0.01930127068557917,0.006322786502307766
12,0.10439531521110451,0.05864372469635621,0.05092555105712996,0.07660394576184042,0.019996224535698222,0.1515650022492128,0.003148785425101214,0.049135515069725584,0.017666281087333723,0.0014626791337317658
13,0.10634897828863323,0.04848332877212175,0.027207033388067865,0.08045600711548984,0.012974137931034458,0.2055766283524903,0.0007885194307608108,0.07507386881955844,0.008560892172961132,0.0019479109651523447
14,0.07297272773228179,0.02829827621069651,0.07666798099282175,0.09954362551814781,0.028590461025174405,0.15581164695177427,0.0051092659993933875,0.07325513092710544,0.015533060357901106,0.006117986047922356
15,0.07335066833751043,0.0914831871345028,0.03577451963241438,0.06367898913951546,0.020015309106098566,0.19660275689223056,0.0017081871345029245,0.05433203842940682,0.00801230158730159,0.001886528822055138
16,0.09350741567460312,0.03960833333333334,0.07864030257936508,0.09006371527777766,0.06035973462301593,0.13065519593253955,0.0038781622023809554,0.0889164930555555,0.0165986111111111,0.004705270337301585
17,0.09563118386243387,0.017455886243386204,0.09236759259259253,0.05870610670194002,0.1064486441798942,0.13907593694885362,0.0029437940917107644,0.05173536155202821,0.018588756613756634,0.0011447971781305113
18,0.041383774988377475,0.008890433021186165,0.05154984392641301,0.05347413163312747,0.019654795111908093,0.13138497044563996,0.004495782692435418,0.04172688782626021,0.008484907352062159,0.002461247260410443
19,0.06606155987700484,0.006511239923543586,0.03321220809440703,0.030757375550569267,0.014255297930690601,0.10030497382198957,0.001339503864372973,0.031310604171860705,0.004258019612731651,0.0011283761323028336
20,0.0935429292929292,0.016276671476671462,0.06021611351611353,0.041186171236171236,0.010283285233285228,0.09029706589706592,0.00282080327080327,0.029258754208754217,0.005187325637325636,0.002364886964886965
21,0.062253135753135694,0.0776936396936397,0.11225668775668769,0.09883019758019758,0.03505594405594404,0.11504390054390055,0.0033684371184371192,0.07656254856254863,0.010378871128871132,0.009943140193140191
22,0.054156525573192116,0.0952795965608463,0.04594532627865958,0.08214035861258083,0.0775514035861258,0.2002187867430923,0.0028610559964726595,0.078852733686067,0.013701278659611989,0.004526730599647262
23,0.057468650793650655,0.08123730158730143,0.08622850140056021,0.0773853641456583,0.0347265639589169,0.21754635854341745,0.0011431372549019604,0.06685371148459382,0.009129131652661063,0.00815247432306256
24,0.08639727809035201,0.04220145580489634,0.07441419301989695,0.07181551660954105,0.06355996752103588,0.15440765411340332,0.007234114409306807,0.0727169515761639,0.012440089963856376,0.011846558451357004
25,0.14772555249323713,0.032482799979584434,0.03809979329352319,0.09223799316082275,0.05622958454550096,0.22421320114326493,0.0013274000918695463,0.10250973561986418,0.010138072270708925,0.018565035982238548
26,0.10898500761035,0.07609871711241578,0.08292559252011306,0.09181401391606868,0.04192387475538156,0.10127410306588376,0.001848814959773864,0.08106637312459221,0.017823309415090246,0.03270923026744945
27,0.08396389505715923,0.014488383090714693,0.07102463195986514,0.06725084299695697,0.024595896044082584,0.08122752693478079,0.0017802039641417898,0.0763787318036022,0.01690344600707295,0.009745805576116453
28,0.11875304414003016,0.028680392476625297,0.12917289084583594,0.1438431452489669,0.0359486029571646,0.09395297890845833,0.001642259186779735,0.047977033050663156,0.029338280060882797,0.008701755816481848
29,0.06668271909199915,0.03930058638565487,0.057181571815718146,0.08189852978669158,0.014648782376325508,0.09920682133650605,0.0008470015013738977,0.045862251305439874,0.020325203252032534,0.005237811960001133
