,lt,rexp,la,ns,nd,fix,nuc,ld,ndev,sexp,age
0,0.05603564923237057,0.03709341660161332,0.23914129586260727,0.0014623991673171997,0.017298985167837625,0.010170439760603691,0.046050611501431186,0.09106947697111636,0.002927400468384076,0.06537080405932864,0.07763270882123345
1,0.047320391571262624,0.02895470383275259,0.22836983573917355,0.0017935954869752774,0.020354239256678276,0.0038045462087273937,0.06172059067529452,0.09592749294839886,0.0020607267297162763,0.062244897959183636,0.02499004479840717
2,0.05124977193942709,0.01788451012588943,0.25520069330414163,0.003049625980660463,0.01771665754424374,0.004085933223864259,0.11301587301587299,0.07707808794015689,0.0029073161831782543,0.059998175515416925,0.05369184455391352
3,0.028961326466070338,0.026932321315623023,0.3656171500858408,0.003964940815035692,0.012634860395771224,0.009137074184512511,0.03894957983193277,0.051944971537001915,0.0011832474925454058,0.026381133098400636,0.0653704707689528
4,0.04797669491525424,0.021459342211460872,0.29094834543987097,0.0018094229217110586,0.017370863599677166,0.013502320419693285,0.057193301049233244,0.05441686844229216,0.013326271186440669,0.035507970137207426,0.06298577481840203
5,0.03858119921834826,0.008500977064691963,0.28606397202509537,0.0012537282731667184,0.023376015633035086,0.003409955774966569,0.044901265041653794,0.06373135863416637,0.0025264835955980643,0.05874370050395967,0.04316003291165275
6,0.025062589867207982,0.008278355747272266,0.316252643153176,0.0017757760297724807,0.01855324367757763,0.007055738814175746,0.042553497420282554,0.07010488031802423,0.002937071809185482,0.0434695085849615,0.038319377484563974
7,0.04886196396853594,0.008993487270574302,0.2852135667766221,0.0018789647297640193,0.02068806563477967,0.011757168231413357,0.05536369787701935,0.08037384758521521,0.0038327835574727205,0.07593715639008711,0.061623530406834166
8,0.0501411596533548,0.010563298490127751,0.23990485124631453,0.0019525596354864668,0.031844903064415266,0.0063722862503350275,0.051388367729831116,0.07953185026355758,0.007066916823014372,0.04885508800142948,0.06601402662378268
9,0.0362514194867136,0.009369369369369373,0.15498183057006576,0.002766674237262472,0.019318646377469918,0.003952986600045417,0.04081611022787497,0.07836512983571815,0.0021386933151639,0.032806419865243436,0.0719604057839352
10,0.03741466866466863,0.013042374292374285,0.1553063603063603,0.002138694638694636,0.01581585081585082,0.019250333000333016,0.07431235431235438,0.052744755244755304,0.00362762237762237,0.046598401598401604,0.053894438894438866
11,0.02886648193760262,0.020708641215106734,0.22804495073891645,0.0028032635467980286,0.01866584564860429,0.010823070607553368,0.0912807881773399,0.03737992610837436,0.0050282224958949,0.0571449096880132,0.05843698686371105
12,0.04430291930291934,0.024034854034854027,0.24833222333222338,0.002455322455322456,0.01794760794760794,0.005310245310245303,0.047690642690642715,0.049709179709179756,0.00613442113442113,0.060139305139305196,0.05196525696525694
13,0.04208172458172456,0.01169240669240668,0.21486357786357793,0.003757400257400258,0.021193693693693703,0.007675675675675671,0.05246975546975546,0.11296010296010295,0.003061132561132563,0.059175032175032165,0.04968597168597177
14,0.04576591350826046,0.014297862001943648,0.1774854227405248,0.005797497570456746,0.024456389698736657,0.008039965986394556,0.05229045189504368,0.1392826773566569,0.005349246841593779,0.05315415451895044,0.060415451895043736
15,0.04322053017484492,0.012879703488840544,0.19419869470630893,0.0015546692450245766,0.013734590282813628,0.005079767947788247,0.0436471678349851,0.16139070179679327,0.005637337845459669,0.041577632745145435,0.05808959793731364
16,0.06549251917672974,0.018318903318903353,0.16407837776258827,0.0020403280929596696,0.017793726741095174,0.005906812485759844,0.06326649958228898,0.10663438900280997,0.012960431381484023,0.11871876661350339,0.048213716108452924
17,0.050756335947266716,0.006336515513126484,0.12997954312990118,0.003271394476645069,0.012891237640640978,0.006235367655415387,0.07769689737470166,0.08327139447664501,0.004236845096033635,0.08418229344243666,0.06972837822479822
18,0.030958251793868238,0.0064370515329419346,0.2756366601435096,0.002433789954337899,0.012024787997390735,0.001761904761904762,0.04405283757338551,0.08893672537508159,0.002514677103718199,0.10413242009132422,0.07665949119373774
19,0.04726828231292522,0.01695365646258502,0.21446215986394554,0.003512967687074826,0.018208439625850347,0.010238626700680266,0.06443505527210883,0.09307823129251698,0.004918154761904758,0.0997417091836735,0.06705941751700685
20,0.041124865890897054,0.008665511265164643,0.31504085169596396,0.0017892217545597085,0.016125691177684226,0.005285961871750427,0.052143269786250744,0.05400387884789963,0.004645126681521823,0.06554056284558891,0.03780226128579684
21,0.02286631506535201,0.010297714591454558,0.2352098142627837,0.0017729114117557131,0.016137735993273714,0.0023113964686998353,0.05249025452877781,0.07517885806007796,0.004236031491248173,0.07596728579072072,0.03461935335932126
22,0.04409737579242227,0.012979139024030698,0.20270271266401282,0.004257703081232487,0.025872401592215863,0.008920094353530897,0.05139613740232938,0.06673964322571137,0.003782249742002057,0.10551046734483274,0.07212848297213618
