,age,ld,lt,ndev,la,entrophy,nuc,fix,ns,exp
5,0.03401171741716738,0.012051044040088913,0.10810302039908418,0.00043888507701138725,9.90590465088208e-05,0.5111416722401992,0.19881650419384622,1.0133752512293315,0.0,0.24900606609287942
6,0.0,0.0,0.2569883523562316,0.32071717491146295,0.0,0.0,0.5673662394455616,0.11330753114475632,0.0,0.25380826719420824
7,0.025496842963427517,0.0008563606158113744,0.15631660248708218,0.04945824299159539,0.006856329849124603,0.19168526654714407,0.4845635803528149,0.2283523476870432,0.009569226912956733,0.23485802747541748
8,0.0,0.0,0.8821745316186913,0.9275913294517317,0.0,0.8935937228914655,0.2138633517042364,0.6329200942628753,0.0,0.2176037647323974
9,0.0,0.0,0.04451249565567792,0.0766964494396671,0.0,0.0,0.0,0.5305220639596768,0.0,0.061225282127646614
10,0.0,0.0,0.09023923695023524,0.1444664203940166,0.3917242527890648,0.6290727983995489,0.7041646173102323,0.14285858061215628,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.20648103997143652,0.0,0.07496263892420885,0.0,0.12400403455626023
12,0.0,0.0,0.0421088536658962,0.0,0.0,0.32344482845698747,0.14793393861840026,0.0,0.0,0.07525700083028139
13,0.0,0.0,0.0,0.0,0.0,0.0,0.13555898029509003,0.0,0.0,0.006852981891510132
14,0.0,0.0,0.05816441097553847,0.5539853637589649,0.15957368024147428,0.4016215089069518,0.39102224158793214,0.5366149827687142,0.0,0.1358926576694823
15,0.164517606135878,0.0,0.07575633865098252,0.22883390122763425,0.038566482882256316,0.8936513099703617,0.7488953043585379,0.6199478320515257,0.0,0.18513836620539964
16,0.017222769146760204,0.0,0.09540643271905547,0.0,0.015216410669193376,0.7940746369325404,0.09611149284711824,0.5492747626375494,0.0,0.5668279736884626
17,0.013917431476025297,0.05419872498307867,0.39882231256555767,0.4573064394287696,0.14402592216109444,0.34607103134863954,0.22178271327305382,0.34088929410729585,0.025316439783622642,0.5483468231374701
18,0.0,0.0017312688907436273,0.07446748329296787,0.04507143937263034,0.00623533616813357,0.0020729107707304,0.13802376308430767,0.06948591988984477,0.0,0.33599653663088885
19,0.0,0.00036995979104496635,0.3144163068921315,0.5569504108057634,0.003658516405297773,0.14635036900720663,0.4374263529548979,0.04367039025697351,0.0,0.8263312495693818
20,0.0,0.0,0.34086836366126444,0.3406418208013579,0.0,0.0,0.22868372923371474,0.0992032069344787,0.0,0.01871672317406454
21,0.02037855765101263,0.0,0.233561529926012,0.4014462668906616,0.0,0.06563921468611768,0.14351130028841413,0.07943069498467013,0.0,0.33136587684976215
22,0.0,0.0,0.08197334210776763,0.0,0.0,0.0,0.0,0.5320773829028317,0.0,0.11297669010821101
23,0.0,0.0,0.0012631540513214272,0.0,0.046399558439519845,0.0,0.0,0.0,0.0,0.0
24,0.04037748681942191,0.0,0.10188860274084938,0.29317647921481943,0.23159717531092144,0.23417118941261103,0.01948690264800115,0.07679901384465836,0.0,0.011670246633218447
25,0.004633524433938065,0.02112235586561791,0.13861409802988273,0.33094381646600474,0.02586589972239336,0.3096202372543338,0.3067157677614574,0.184122916579484,0.0035044264158025982,0.5001169070035433
26,0.0,0.0,0.011467528957279068,0.0,0.0,0.0,0.6497596827903105,0.0,0.0,0.26315370187752185
27,0.1210877450170993,0.03293096174145344,0.6559706199746075,0.2071846079173819,0.21467272929932707,0.0,0.8465915057477235,0.053419772414748434,0.0,0.11394124509271553
28,0.00726059205370238,0.023036736737790366,0.1361073711362989,0.0595519594601616,0.06745541899628665,0.10170043658426121,0.18223301871596617,0.2868577120302447,0.0587280781422012,0.09530896516495646
29,0.07764941465632712,0.2929042156326564,0.034885262460284235,0.0961743296272627,0.006265030664649513,0.07092499651401503,0.1890436710353027,0.08117695336423682,0.004597010153510047,0.01131768855295499
