,entrophy,age,fix,ld,lt,rexp
0,0.11523739837398433,0.06903719512195083,0.08334227642276383,0.12855406504065076,0.15395975609756032,0.011881504065040566
1,0.15027355396541495,0.05289713774597529,0.08115399522957703,0.1244257602862249,0.14583333333333262,0.008590638044126344
2,0.19510384350224275,0.03921147880041416,0.11663133402275212,0.10665296449500201,0.07469320923819384,0.01722664598414346
3,0.11895694393550786,0.03844955417124697,0.1515800659582246,0.11305514840600767,0.10500629046048657,0.012821546353975944
4,0.11698072421864161,0.06482101060167927,0.09666253614209089,0.13748912295194995,0.10400364863004143,0.02422497590527305
5,0.15646626506024222,0.08956847389558219,0.09049427710843337,0.12687751004016137,0.09974146586345418,0.027299397590361252
6,0.17322794580970247,0.06913720856962821,0.11242651228733339,0.09891493383742807,0.10147991493383753,0.02571518588531799
7,0.19063049151805225,0.05038777729447578,0.07134761490503068,0.13078461649992695,0.09009910105843132,0.01930658257213307
8,0.1729028238182967,0.0597588704726832,0.08294868017188292,0.12609656230816652,0.10755794966236895,0.0212264579496626
9,0.16946213910761462,0.0521628608923885,0.0902833989501307,0.11996837270341223,0.10537506561679653,0.020107086614173455
10,0.179243580599145,0.058441036614360495,0.08390846409890595,0.13037482168330944,0.09975083214455584,0.015591773656680866
11,0.1241759195796206,0.03600297007082466,0.05635435229609324,0.09383835960703675,0.21615547178432726,0.03322024217500553
12,0.14920525224602804,0.03072609997696397,0.06753109882515493,0.07323992167703215,0.2106400598940331,0.03509479382630752
13,0.09723250542085714,0.03010220776660802,0.06531135422826663,0.06970569682633486,0.238906958407255,0.038058249556474945
14,0.09724536805207819,0.04176573193123038,0.06760282089801369,0.05717901852779066,0.23485928893340163,0.06525880487397694
15,0.11681885890950035,0.03990711073636872,0.09091146711635782,0.05450702641933646,0.22446557054525224,0.015807335581787423
16,0.10085885885885965,0.04359369369369347,0.0729241741741743,0.07189939939940004,0.21527087087086935,0.0271608108108107
17,0.11139884216940969,0.03430652041438143,0.062107556368068785,0.06713091610806393,0.2507424334755245,0.020782754418037758
18,0.11881368528959671,0.04788373483683657,0.05913557150179455,0.05646890483512794,0.23922099777892028,0.02143080471553049
19,0.08900977933801486,0.06267026078234572,0.0640447174857916,0.04082196589769295,0.2452968070879279,0.04884804413239745
20,0.07781723163841679,0.05082438794726865,0.0683696798493415,0.036286911487759456,0.2721764595103544,0.03142664783427557
21,0.0860075323573087,0.04782028431996516,0.07170708678124219,0.047107786972204024,0.23290218544451768,0.04717780606832194
22,0.12488195507912087,0.07412225625318972,0.05521120469627391,0.05784915773353712,0.1823115109749856,0.04248047473200656
23,0.14810096319229477,0.06213622291021707,0.05820622635018932,0.05843790849673171,0.17953388372892926,0.03930409356725126
24,0.1765755300353372,0.05863928150765586,0.04139340400471145,0.09062809187279217,0.15069552414605483,0.041128828032980146
25,0.1499074330563227,0.06190720221606575,0.06764566020313917,0.07553658818097837,0.17513965835641565,0.03994309787626935
26,0.12225388540941796,0.0532178148921369,0.07809754117374089,0.05800904662491343,0.20713604732080565,0.0376510090466251
27,0.11807001892403371,0.04775304136253034,0.09199229521492333,0.06654771559880981,0.19731103000811212,0.05403690186536872
28,0.15240195280716123,0.03820192568483859,0.09309994575535613,0.06779264985082682,0.1338859506373733,0.07155166802278308
29,0.13888980923694857,0.03804856927710859,0.08718247991967824,0.07032530120481963,0.1643109939759025,0.0636168423694784
30,0.0926036355051925,0.04235162889518432,0.05221246458923528,0.07691572237960302,0.21960552407932135,0.06124752124645879
31,0.10193876698014698,0.058001462904911316,0.05802340647857844,0.0631986415882967,0.214086206896553,0.05869216300940407
32,0.11362677039696861,0.06219818471972812,0.06045382006782399,0.05506822262118429,0.20822960303211735,0.03707670057849533
33,0.10834311169056961,0.04272218600608378,0.0835038026944811,0.05976890482398995,0.22242514124293591,0.03731095176010466
34,0.130459054685353,0.052155399835119576,0.047850645781807866,0.09556595218466546,0.1969027205276176,0.0360788678208295
35,0.1371551238738726,0.06219650900900888,0.05096396396396425,0.09590512387387332,0.19052491554054116,0.027981841216215813
36,0.1180028690662482,0.05273500260824175,0.0491678403755863,0.08547861241523126,0.1859660928534149,0.037202269170578825
37,0.13375200945626406,0.06055602836879375,0.06292789598108824,0.07017009456264686,0.19638475177305237,0.027100472813238855
38,0.12025942770513659,0.05985541027098727,0.11715273829827637,0.06761171119954613,0.17359143452719283,0.01576956604131123
39,0.11910754158122447,0.039809979494189705,0.11852631578947223,0.06222909546593687,0.20234301663248908,0.032403964456596275
40,0.10829589509692072,0.03814671227670085,0.07990079817559836,0.07717673888255368,0.21323280121626897,0.01984492588369434
41,0.12045203588681723,0.06199344375431345,0.05132453416149106,0.09104641131814985,0.1970132850241555,0.029877329192546348
42,0.13108963344788022,0.06528407789232586,0.04339075028636905,0.09064633447880914,0.19319616265750233,0.03830369415807586
43,0.15684072580645025,0.07290706605222781,0.059017857142857046,0.08615351382488501,0.16545814132104603,0.028775537634408287
44,0.14845170397257484,0.08910818713450297,0.08019207501512474,0.08802712240371045,0.15646975196612425,0.022363178060092657
45,0.09896910466582591,0.04929045817570381,0.11243652795292193,0.06015636822194235,0.1868097940311058,0.036106137032366696
46,0.11753944368445014,0.04372298221614189,0.07166575467396205,0.08032398540811711,0.19282786137710925,0.04667875056999539
47,0.1250764901509332,0.049211946789459844,0.05644499872090132,0.07247160399079124,0.17115387567152784,0.05707828089025288
48,0.11092609797297391,0.04851998873873831,0.04783868243243184,0.09108657094594698,0.19203645833333555,0.036688485360360026
49,0.12327809292274415,0.04648905996758472,0.07254659643435957,0.08945650999459788,0.18916828741220845,0.03513600756347898
50,0.10517796811801086,0.03936497739709779,0.06809635974304032,0.08446133714013895,0.1769263621222927,0.05275005948132337
51,0.11861852941176623,0.043614117647059004,0.0694127450980402,0.11060852941176566,0.17178313725490285,0.021370000000000243
