,sexp,lt,exp,fix,ndev,age,ld,la,nuc,rexp,ns
0,0.029974025974025962,0.018278499278499286,0.022769841269841256,0.004665945165945164,0.003197691197691198,0.02567604617604619,0.12957215007215003,0.2550346320346319,0.04068614718614721,0.04417821067821065,0.0008874458874458864
1,0.13453823953823948,0.03185425685425689,0.04270803270803275,0.007393779060445723,0.013427128427128426,0.04130030463363798,0.05626984126984125,0.27721019721019724,0.04452781786115119,0.02386564053230721,0.0024523007856341195
2,0.0839607097591888,0.0595518739815318,0.07797845373890995,0.010888104291146115,0.015774035850081483,0.05777204417888831,0.06537570161144307,0.18599040376606912,0.041717363751584316,0.027343834872351973,0.0034790874524714844
3,0.057570346320346376,0.03256192881192885,0.0578252765752766,0.00318181818181818,0.006456228956228948,0.058849206349206346,0.040315656565656575,0.24352573352573345,0.04131914381914379,0.03115800865800866,0.0028162578162578143
4,0.10664649859943981,0.044331092436974764,0.10616694677871152,0.007915966386554616,0.0045859943977591,0.04762689075630252,0.05954733893557425,0.14694845938375356,0.05654005602240893,0.026999439775910374,0.005546218487394949
5,0.09096665369144927,0.09239198131568704,0.05941416893732969,0.0062164266251459694,0.006892435448293749,0.030596211236538204,0.05685805112235632,0.20645841442844165,0.0753522771506423,0.037585960814843666,0.0020345140781108067
6,0.13059118384195792,0.12877561550936167,0.043704113224237076,0.0040929529706619375,0.004288294265074438,0.02605779153766771,0.04665266106442572,0.11782692024178085,0.04779743476337904,0.04338935574229692,0.0026256818516880408
7,0.10744177963156072,0.06693395898505386,0.0320646506777894,0.006745915884602014,0.008433785192909281,0.039222106360792534,0.04460479666319082,0.22203302050747323,0.08502745915884602,0.017483489746263473,0.002476190476190474
8,0.08135554869896118,0.07258099352051836,0.05459940347629336,0.015301347320785752,0.0030396996811683586,0.07054047104803049,0.05279131955157871,0.2293263396071172,0.06536254242517746,0.01871438856320066,0.0019839555692687453
9,0.10463148316651504,0.09751364877161053,0.05553609341825903,0.00968152866242037,0.009503336366393675,0.04640885653624507,0.05462010919017286,0.19031922960266917,0.059405520169851386,0.04883227176220807,0.0018130118289353958
10,0.17226248832866484,0.0808887721755369,0.06790382819794583,0.015180905695611573,0.00537640056022408,0.03247607376283845,0.05269199346405229,0.17581582633053214,0.0379178338001867,0.03790849673202615,0.0008560924369747892
11,0.19777551020408168,0.07149757045675413,0.06877745383867832,0.005511175898930993,0.01279737609329447,0.045078231292516986,0.038143343051506344,0.20035228377065123,0.045552964042759915,0.039166180758017484,0.0006112730806608351
12,0.12559812409812413,0.040735930735930716,0.09840620490620483,0.004068542568542561,0.007337662337662326,0.05379437229437225,0.04711688311688311,0.23877272727272736,0.05126839826839825,0.04535569985569987,0.00139105339105339
13,0.08743376297887571,0.05237379162191193,0.029351951306838518,0.006752595775152166,0.004133548156104549,0.062469566774078056,0.06894468313641249,0.24538578589330484,0.03291621911922665,0.08046455424274969,0.001080379520229143
14,0.12485459183673467,0.08256972789115649,0.02191751700680271,0.007180272108843535,0.00250170068027211,0.08725085034013602,0.04323809523809524,0.21933758503401374,0.09484438775510211,0.020709183673469394,0.001011054421768706
15,0.0997434061343835,0.08133786848072554,0.050502446592672154,0.006679794724907497,0.005026256116481681,0.1052016947129729,0.04073397780164697,0.20732426303854873,0.0508324382384533,0.015624179496359929,0.0007351712614870512
16,0.11251331203407884,0.05209873725848163,0.038646736649931575,0.008297581013235961,0.0034725391754145715,0.07386885744713215,0.0575992697398448,0.1598653582838885,0.04261524418073939,0.018282367260003048,0.0008595770576601232
17,0.11643707482993192,0.02269982993197278,0.07382015306122447,0.013535289115646245,0.0010905612244897951,0.05385416666666667,0.08917304421768714,0.19318452380952383,0.04017431972789117,0.02060586734693878,0.0004039115646258506
18,0.12848529172761256,0.04276938078985862,0.0865927189988623,0.011856817812449207,0.008171623598244759,0.0568673817649927,0.06816187225743542,0.2089769218267513,0.0646075085324232,0.014076873070047126,0.0016390378677068084
