,exp,entrophy,age,nuc,la,ndev,fix,lt,ld,ns
0,0.013238536155202893,0.13128490593768338,0.009746105232216327,0.3125018371546146,0.096083186360964,1.6094378916007045e-17,0.010921884185773067,0.004771090534979425,0.0685332157554379,0.0
1,3.816391647148976e-18,1.2099696244938229e-17,1.0018028073766062e-17,3.8640965427383376e-17,2.1206994493816466e-17,0.17249999999999957,1.0538445116559103e-17,6.114900252818245e-18,0.007499999999999991,0.0
2,0.010673145448655766,0.00041788143828962984,0.02001490119857462,0.006106899902818283,0.10683705863297704,0.02327955944282475,0.05945254292193068,0.09695173307418202,0.0588675089083253,0.0
3,0.047674559205030116,0.021912236732181328,0.014534691993140747,0.018137998505034513,0.009561733280569841,0.004171063623972212,0.017994547772941124,0.028585169063008408,0.003517565844435651,0.0
4,0.04354835869258943,0.0071868836291913195,0.0025960951441720667,0.0006944444444444448,0.0004784211514980745,0.004532086503240351,0.03907614821076354,0.005114410162487083,0.010903012585704887,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.047467158277969136,0.03468874279685094,0.15682516493327303,0.05977309355687732,0.006619360673414724,0.12093696012614953,0.05558686099226637,0.01623360812550002,0.07690702285296874,0.0
7,0.0006878306878306845,0.34894179894179916,0.10894179894179876,0.0019788359788359775,0.0022751322751322794,0.0005714285714285728,0.00045502645502645996,0.0005820105820105849,0.017523809523809518,0.0
8,0.00010493161731337802,0.00719481685046569,0.23730816661521276,0.0006999377495710838,0.10163268198128428,0.020458291369121397,0.010209745144382184,0.0018943362231703166,0.03305615865930451,0.0
9,0.03392879911527446,0.01194421675774134,0.02050009758001562,0.0030025045537340625,0.23348620869112674,0.00804602524069737,0.03957051782461617,0.009719002081706996,0.061565313557116794,0.0
10,0.003361543029910348,1.574703955657842e-06,2.137098225534584e-06,2.587013641435731e-06,0.0876322751322749,5.623942698775422e-07,7.929759205269465e-05,4.9828132311125914e-05,0.000817383831839615,0.0006031116150163761
11,0.01720663702723891,0.023655509014305312,0.029469337889476716,0.0051313259357240815,0.08587274029982354,0.043123070987654326,0.01378019057417205,0.18967029198510663,0.01990939765824024,0.015372544336664705
12,0.06867623117623124,0.048030483286893556,0.011253300355864483,0.02977312336286695,0.21010978575081113,0.02465274516556567,0.02293642966719888,0.07317423791782762,0.11538683301503809,0.0
13,0.11342182159549948,0.03268859536039865,0.019359245155788206,0.03483047738045649,0.1466496268089352,0.0011849394762764205,0.012085903360372333,0.14728742322973862,0.06420431632322501,0.0
14,0.001766538304999869,0.05274881813343347,0.010035169009527972,0.03448767519280341,0.01764242405268046,0.001787279671895053,0.008505656262066523,0.005315921021049225,0.0025704945576740454,0.3357158511004657
15,0.00012247697432884352,0.21854178914364084,0.08277820644718792,0.009502988438173677,0.00023331863609641455,0.0005185368900646682,0.0008721891534391567,0.0005900328238291205,0.022507899764844182,0.061492473789927504
16,0.004004586376762323,0.0017694354793046788,0.021329483041730633,0.005370590566785545,0.0001741124511635943,0.006495951531623348,0.16529500028310914,0.018995243757431633,0.012500707774191754,0.0
