,nuc,entrophy,ndev,ns,exp,rexp,la,lt,fix,ld
0,0.031943709582598484,0.022200286596119875,1.8371546149417023e-06,0.000774875073486182,0.09968948412698406,0.021204365079365066,0.2989681069958845,0.02110526895943562,0.00997979129923575,0.03200227807172251
1,0.056582497911445165,0.04847295321637418,0.003705592105263167,7.367376775271898e-05,0.01322590329991646,0.005107899958228909,0.3393832236842105,0.006870144110275689,0.033172201336674985,0.010109753550543022
2,0.11936513227513211,0.23779268077601415,0.02642118165784834,7.97201810737786e-18,0.0011615520282186953,0.0023537918871252192,0.2503328924162256,0.04036225749559082,0.045854091710758375,0.020088624338624336
3,0.05821213253612347,0.1284415438821268,0.005874368282440032,0.03661995515695068,0.08043618762901276,0.044379866894440886,0.3292198377108688,0.05460997224001701,0.025709285358388487,0.056882856431062716
4,0.08399286907745564,0.0701274316744241,0.09374003461033531,0.10963390619405657,0.052177288459243375,0.033945190356844485,0.26099459959422333,0.02432539682539682,0.033408342284282154,0.00924725504236783
5,0.028624104509060295,0.03242772861356929,0.009194760500070245,0.01953350189633376,0.026487603596010663,0.01450179098187948,0.2420328697850821,0.21655390504284278,0.0554664278690827,0.0803618836915297
6,0.0679478021978021,0.02703490953490954,0.00579387279387279,0.01071669996669997,0.06250391275391277,0.07952034077034083,0.11229145854145851,0.10908275058275055,0.02706979131979133,0.0903394938394938
7,0.08164225941422591,0.030360696021783897,0.005266769608819822,0.0008570598392774157,0.0646843162648602,0.1064231752673176,0.1167746064953178,0.17827512120608366,0.023208723517300918,0.08688935378893532
8,0.09109004543577029,0.055763379949253566,0.023896751637457917,0.01584389567475068,0.0021377382427568287,0.08973499734466271,0.24954881394937123,0.19000519265946758,0.046211187820853254,0.0385655425739069
9,0.06659904013961603,0.04396033823651624,0.006650897531787597,0.005389699160641569,0.08625789495553891,0.09538170032410873,0.09645695171611403,0.10352821407795225,0.050549426576913505,0.08993264356353356
10,0.11984540343915324,0.05696392195767192,0.02009199735449735,0.022089252645502645,0.01458240740740741,0.08799642857142857,0.22817638888888866,0.11929864417989412,0.046941402116402096,0.14842083333333317
11,0.059563932980599484,0.007163668430335099,0.10663474426807758,0.017153417107583762,0.027368364197530862,0.011365454144620814,0.28289402557319177,0.15514292328042315,0.012164219576719574,0.11202063492063485
12,0.07395030234315944,0.03763567649281935,0.008434145880574454,0.002104497354497353,0.09487133881330306,0.07835558390022676,0.12181575963718828,0.12738624338624335,0.013302248677248682,0.08729513888888889
13,0.09609672619047625,0.035206845238095225,0.016342013888888906,0.037094463045634914,0.09001999627976184,0.12250120907738095,0.08254110863095236,0.07358479042658728,0.0757402963789683,0.10384099082341267
14,0.09632680097680094,0.03333195970695971,0.012940873015873005,0.07094749694749695,0.09046974969474968,0.08045753968253966,0.07645177045177043,0.09784484126984126,0.09493208180708176,0.10183656898656895
