,rexp,nuc,ld,entrophy,fix,exp,lt,ns,la,ndev
0,0.023435513047281264,0.014000667052657643,0.018499087068431116,0.1012437753499113,0.03634037442326831,0.09518341579096326,0.013385418810973795,0.0011848803890284808,0.14879581863522606,0.06315958288181588
1,0.026512858885058225,0.04979761650376338,0.01872520193923935,0.13909243562124807,0.007904209674829786,0.04019195500009871,0.013674797805969469,0.0,0.07776755840049379,0.0685367893730466
2,0.07049143177515309,0.0320929276536853,0.04863848930623894,0.05303344327105783,0.02220552941301172,0.04769665494722777,0.02045153724951381,0.0008576137910330885,0.15637620104011002,0.013732928297275447
3,0.057548582308994345,0.025074616719719528,0.042853979566997366,0.038196374419281774,0.0013876564446226997,0.041557322785887744,0.022525089680854933,0.014546208842805025,0.15488968752235743,0.057641465623701225
4,0.021069209683687518,0.03652331718148582,0.04655789223630222,0.024927714850364536,0.002936502903742067,0.020888649371685324,0.023235026715587775,0.008519712705617726,0.11223727649233266,0.06357505886150429
5,0.0,0.02068540024600731,0.014484537046287318,0.00953310328607282,0.0,0.010261045802302823,0.020619280801356547,0.0,0.03052583254890816,0.0
6,0.0548722760021939,0.06720627407302675,0.031914292634040414,0.0318728981812574,0.007779800895595464,0.03248758219635161,0.10888775369377957,0.004244571075511526,0.07407795033335458,0.052168229934392775
7,0.0339040421941048,0.033779107159357065,0.028012083267054236,0.038960777135977766,0.007403994964380737,0.021525269873033066,0.0858010980562925,0.0029247251669194526,0.059248498345391296,0.014068096480058629
8,0.025743438066750387,0.06706532622108415,0.01840416620981007,0.052202408321228376,0.0031410925361367746,0.022550975623003903,0.044804519369645565,0.03406424542242483,0.08505855804962437,0.03205905874714836
9,0.018957856318246948,0.029738021134024333,0.050871933733384854,0.057231223988298684,0.019495398832222625,0.05587540572321839,0.07790205853470748,0.00989724913804665,0.08225115639408599,0.010272972058867711
10,0.021525465750649043,0.017657704208894558,0.09873735755445051,0.034916333711398226,0.007603189100972016,0.02601188036272796,0.03851796547253839,0.010289908711755577,0.10089381976445581,0.022178798311474433
11,0.015439107091121966,0.029343161986881954,0.08201553487421176,0.02231581502091037,0.004307260169536733,0.0076767148661043725,0.04847690511740817,0.005446388398068881,0.09928334519683843,0.0033738856564172574
