,entrophy,ns,nd,la,fix,ndev,age,exp,nuc,ld,lt
0,0.21283532931816446,0.015784077838490507,0.48124086036681146,0.06647785459290594,0.12180457132506528,0.450711129167272,0.21646180970506534,0.1724025571414981,0.24193353728327285,0.0038387772710510326,0.1588838115978663
1,0.0407073563169516,0.027053151373268896,0.3843147671393179,0.10406630968371317,0.3496874071753238,0.41028170094936617,0.039473810560847374,0.44171910090707056,0.46021840409557363,0.05406065910389829,0.533319587587359
2,0.1293338606494208,0.02336265542590756,0.13142457728317483,0.08182739299071398,0.014097264200195771,0.1343772040490592,0.1300223852841441,0.15787155429813213,0.07647391932438174,0.08968799875936273,0.13406838381430689
3,0.30157253735420214,0.005577699015554467,0.15955625243651111,0.11961012472251673,0.0999854979576385,0.11113986694951258,0.0,0.0,0.009431564136584995,0.06331813566649967,0.16170098240091482
4,0.3741294499355712,0.016242638720464036,0.0,0.08013109614318151,0.17146057822845767,0.1860640353510312,0.016934245838727834,0.035520372150200485,0.032245471673376117,0.11933216779738061,0.23114306187675604
5,0.17402989456401907,0.0,0.0,0.0,0.15946704974879206,0.0,0.11961930426337161,0.03224475656023285,0.08135079977588627,0.11595130358693373,0.45887738417473184
6,0.033502522418489875,0.08395642384298149,0.18499528222824108,0.08809050986483755,0.03547375519101825,0.0137821647948521,0.12700721384305835,0.18434895168186433,0.04143740582755047,0.18087363775208165,0.5480121033329183
7,0.10721534602755224,0.07631558736638941,0.21455790776533773,0.052977113688226385,0.32182916346705576,0.03981910934962856,0.0861455969320081,0.142037665266777,0.09128165836246525,0.07839609081342472,0.31646939932606044
8,0.002796013713625262,0.08019223534616983,0.26267860248314767,0.0952364594605131,0.5464267146826636,0.054971776224248876,0.0,0.03558004948712503,0.010542868175003267,0.07276103109587012,0.2921513581849143
9,0.005757745494813362,0.03166983422602519,0.2560985473788016,0.10801486824145559,0.5415050607092102,0.09949588455749919,0.08059466964727063,0.026339829750692285,0.04873354638026095,0.0748583322911171,0.44532558783515924
10,0.050113354124910706,0.00041962199279251135,0.14017712206832106,0.04443554190628184,0.22569579740525084,0.16328046697143228,0.14886711830585173,0.09155058461380161,0.12393912952661319,0.01366813566257499,0.3869356948549364
11,0.049584788237069764,0.007065013427138481,0.1158068893341362,0.10947894244422088,0.20892975736880492,0.1313666263138642,0.22251195533428617,0.02461804038854531,0.09720027527051459,0.023327993749650312,0.5147241616638398
12,0.057702314830168466,0.0,0.11364483862094094,0.10805429173716749,0.2099917629840574,0.19410025562650526,0.1842332555919529,0.02655892025626632,0.009905486164443325,0.040996615024791405,0.44495737358957066
13,0.08241889334491484,0.0,0.0005801385546012571,0.11096079939237803,0.18691625032494483,0.1022145612125707,0.013105014962967168,0.1105468207545014,0.03194053522281694,0.0,0.4397820833971054
14,0.23053279276039562,0.0064425667540595815,0.06100685689896835,0.053227558778061734,0.18264438972800245,0.10112024853529532,0.06433519035268317,0.32408664886537125,0.23467458208333122,0.020028014695393462,0.23171309330254783
15,0.21636050491501804,0.03811960854410602,0.2273361352024031,0.013275846044107614,0.43839542468524195,0.16879417981144115,0.2501935889161644,0.13153043761205782,0.2251209810091539,0.12560199207504916,0.2699672013298944
