,rexp,fix,entrophy,lt,age,ld
0,0.02271116061987924,0.0,0.1408814091277248,0.18344352254460658,0.024211183912838205,0.07782661902002795
1,0.043986458986184244,0.0,0.025166843715789426,0.11542930480442598,0.02087432578453867,0.20021843170516407
2,0.04112999692556101,0.0,0.10477158627227852,0.0034308876243474484,0.04558221157985889,0.13726777129064036
3,0.011119717807336397,0.0,0.18070777722872583,0.04582231268143937,0.0721856964316189,0.035037908340828
4,0.0,0.0,0.05031326813493507,0.03892454052026098,0.0,0.1809591460542342
5,0.025879225102958953,0.0,0.068435107755252,0.09019965664298232,0.0047939958539470195,0.1872860333898451
6,0.0,0.0,0.20089188197382354,0.09580508784371712,0.0,0.05072019053688661
7,0.004931940071917347,0.0,0.23565303636313836,0.09149700806309127,0.0,0.024372415264062072
8,0.0,0.007870184581249393,0.18333772435156215,0.02950435081553676,0.08784295889654997,0.07203582160353368
9,0.0,0.0,0.1935502966347657,0.027824318465147397,0.11684251077829917,0.0
10,0.006985216627112867,0.0,0.17842380523953008,0.10768814285596807,0.008551545063507792,0.02773238953615842
11,0.01772278127773835,0.0,0.10878849105424684,0.2989999368596406,0.01464111990704934,0.034106187625010276
12,0.0,0.0,0.18155603058174605,0.24844139913225674,0.0,0.0
13,0.02532585862157516,0.014173297298676061,0.14966300676663333,0.27637979901459364,0.02589001174230373,0.007774388708114347
14,0.0,0.0,0.07689370839969635,0.3718466268531168,0.04400033527289075,0.0
15,0.005086490484977397,0.0005569455809572523,0.17744769688307613,0.25933795811003124,0.032042048216647814,0.01754283543204624
16,0.009780195428538382,0.0,0.16545785482491565,0.2517089388686147,0.02436618313260287,0.0316137988127316
17,0.00678086117475649,0.0,0.18544675045030728,0.25528875445164395,0.0,0.0
18,0.011653836997074712,0.00351746858404046,0.13533490858461036,0.31027580611432315,0.0,0.0
19,0.011836052559840285,0.011283336083869234,0.1129071400536193,0.32287255310483565,0.0,0.0
20,0.0,0.01809974542385862,0.1384426762234176,0.25428797801347364,0.0,0.0282005720568433
21,0.0001047627217797354,0.0,0.15632543148829323,0.2801490548448559,0.013812113944153086,0.021103929539367874
22,0.007262811377422444,0.0,0.308366849563692,0.13564477542646444,0.029142306358247032,0.015350426493750683
23,0.02888406820495057,0.006252904538198293,0.3260777880377104,0.09574436489839575,0.02618369870394923,0.029025603531450204
24,0.016364912062878413,0.0,0.34234796218817704,0.09108970778777117,0.01592846319225961,0.01911190355957374
25,0.003468628774788785,0.0,0.3263648119886482,0.10708164893907571,0.0007340003105838797,0.0
26,0.001943268714094729,0.024299161418208367,0.151641877086835,0.24542686767820596,0.010707415604367767,0.009455916194499028
27,0.009577326973238863,0.0,0.11708008323381075,0.2928424817932735,0.0,0.014178370899023678
28,0.015295931426764057,0.0,0.32229312250026776,0.0909677263386738,0.01394995761079916,0.01219952172974559
29,0.03516235854832259,0.006419764679725559,0.30294970673137983,0.09799375274456869,0.02089981040709875,0.016156674872300738
30,0.006619288342391693,0.0068048766218311305,0.11600716721478421,0.27816671183016417,0.03294393374282187,0.05971469858333455
31,0.02407198596866304,0.0,0.1211759081795088,0.3076768900294991,0.018589674411319135,0.011617200560103845
32,0.0,0.00873376096900367,0.12711748187594837,0.2894298521157388,0.008354189759312663,0.013267526595988037
33,0.0027041739197893352,0.0,0.13201618842569657,0.2814690784917333,0.02034910125139446,0.022931308486651255
34,0.023988579211861132,0.0,0.13336662905081423,0.2666705313964251,0.008414052047586391,0.021454964680139896
35,0.01374110956909677,0.0040112224202526825,0.3352071023560244,0.10570470270532938,0.007038348624477512,0.025547488368870455
36,0.0,0.0,0.16849117154699877,0.2576343211076985,0.0,0.0
37,0.06025901457713311,0.03336500481772507,0.07817231722833583,0.2646648586749425,0.003057811963490696,0.009448571303807888
38,0.07683344245013701,0.019005743655875724,0.23294949060784495,0.11353469951197377,0.025056811851182307,0.01572724152802222
39,0.0,0.0,0.2522457518768527,0.1567432008200503,0.0,0.019847604371650673
40,0.0,0.0,0.36200172920115353,0.0,0.0,0.0
41,0.0,0.0,0.37656716489233577,0.0,0.0,0.0
