,nuc,fix,entrophy,lt,ndev,age,la,rexp,ns
0,0.01096436352318706,0.03617198360825808,0.02751317564062662,0.02575118010167027,0.21455943303247216,0.006725269737524641,0.036872743541861194,0.01154747639796659,0.12422903050108941
1,1.301034509989747e-05,0.001989793098002054,8.86440811813948e-06,0.00012838584853510236,0.006978895206507142,0.005202835031193238,0.00021420674405749036,0.005030778646450278,0.000961817894653715
2,0.03267934027777786,0.23332224702380988,0.02497519841269842,0.1243491319444445,0.0640761408730159,0.019355679563492056,0.032119667658730144,0.007529712301587296,0.14868365575396808
3,0.03362223887223887,0.08892923742923746,0.034939948939948944,0.05877067377067375,0.04729476079476078,0.03686890886890888,0.025014097014097004,0.00812942612942613,0.2334326506826506
4,0.07442162249515197,0.06590307405013285,0.060490339725633856,0.06857017165840693,0.05239946491417079,0.013100068232421155,0.0671593945270416,0.024791909071320842,0.14309985276161735
5,0.06901182336182338,0.09733168498168503,0.10086898656898653,0.14867089947089943,0.029803683353683347,0.03846882376882376,0.17389822954822937,0.055798148148148145,0.050855331705331755
6,0.04124957671957674,0.03144214285714286,0.08722732804232801,0.24490756613756612,0.050057301587301595,0.007182566137566132,0.0648422222222222,0.21127666666666664,0.014935370370370377
7,0.014966652742968541,0.010500174046226645,0.1893973127262599,0.04975208855472013,0.01752781258702311,0.0014744500139236983,0.019046331105541624,0.05694138123085489,0.07980760930103033
8,0.037569473622782595,0.0036317110177404165,0.1293876925770307,0.04177897408963585,0.020492384453781525,0.03588054388422033,0.07519943394024273,0.030081786881419242,0.18220652427637707
9,0.02587568279673548,0.04832247284878871,0.04709938307306732,0.02609959192853929,0.025494312704839022,0.13976478054109628,0.010695520853415585,0.032602515905147476,0.17652164064006134
10,0.040098733071210126,0.08813532110091746,0.02892453036260379,0.20900764525993865,0.08218854667249166,0.11913634046890911,0.03996987403524101,0.0673877785058978,0.062008118537935
11,0.011948028673835109,3.710069885718139e-17,0.0027562724014337176,0.07510791090629802,0.09672836661546329,0.28847516641065013,0.04101587301587303,0.0038828725038402463,0.009145289298515108
12,0.05575012130033972,0.050559523809523825,0.10531338809177244,0.07747175434948358,0.06901294447910171,0.07242295695570805,0.028253153808830662,0.02866874610106049,0.1099934497816594
13,0.03992942411124229,0.09652428505837589,0.09660091171454807,0.0536720779220779,0.02682772530499805,0.10961663715072802,0.05278330381739465,0.03555262035943855,0.14397540338449427
14,0.04009722222222231,0.05173680004409169,0.13133221726190472,0.042784749779541414,0.024668154761904756,0.10606190751763658,0.026198922508818313,0.00461877204585538,0.1621066330467371
15,0.033863171550671624,0.13053867139804634,0.10226673153235658,0.017591765873015877,0.008916762057387064,0.1545155677655676,0.0385736416361416,0.01525538003663003,0.09019438721001219
16,0.06492613191345639,0.015930770225700067,0.14359088361465,0.045425010958057614,0.027684005547292105,0.15160544525641848,0.029482564113618884,0.03045531627469155,0.08042235228179083
17,0.05560841423948218,0.023973262444136216,0.13516712898751726,0.05110074741870855,0.03279160887656034,0.12807269995376788,0.09124032978887348,0.02537228386500232,0.13754438280166412
