,nd,fix,age,exp,ns,sexp,ld,nuc,lt,ndev,la,entrophy
0,0.3016674083166616,0.03205994634806353,0.355736895264293,0.19341064401639824,0.04617846516695797,0.14954499690108639,0.02072845351708557,0.19637064040077773,0.002975188620308705,0.0017818597953740815,0.023942695626198624,0.34435608506694876
1,0.3116764750516677,0.13136108985716194,0.3489505050762393,0.06325481743069394,0.1102048000449371,0.13758662340820454,0.01884808301520655,0.31822612039420733,0.05263799269572183,0.04872719074860198,0.07740283075868827,0.4338723505860375
2,0.1858300196588476,0.13030891765926486,0.4054761952109638,0.12620867969379673,0.1528357559021183,0.16797424369925637,0.025364793767490488,0.438151626556083,0.05753884817021771,0.024546922652660626,0.08647686399403098,0.33934749010967463
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.30548845987295054,0.020124544664461147,0.20609283692899796,0.06403664849509935,0.0646521128147248,0.11706843069112247,0.009337534625857475,0.3076063120515657,0.036816103999156316,0.008149942267406576,0.0764574049525208,0.2740454784932441
5,0.1337895388545781,0.2133657381564489,0.09723272971685398,0.1412354518449299,0.10442224277945181,0.09958050891807589,0.030187134741340688,0.548988095254796,0.0778565673545326,0.17296344893746687,0.20255940073680076,0.09659185760322309
6,0.14541397319579602,0.09931551035179641,0.07822941633098887,0.5710124255266816,0.029050799485202713,0.18066103777404038,0.009918581979466606,0.2896580052175331,0.2771278970419668,0.2500317253430464,0.051422232900531266,0.01246231328305547
7,0.3568542573046882,0.05495038722504709,0.23354054844091743,0.3110459277430579,0.005548636298804216,0.0014495983151336074,0.026491641076794793,0.24045311841872435,0.01428565103903178,0.003170755994209193,0.07758402494413817,0.24860121694190906
8,0.10623816912209028,0.0,0.2425475443979827,0.3817726817988177,0.0,0.05196421543164291,0.0,0.322597786812117,0.1810574349308846,0.0,0.0,0.0
9,0.3936211070971716,0.37370939825305816,0.19804310770361044,0.19728033059244057,0.21390741445118916,0.06500068814040669,0.010718681006179473,0.4296319501878513,0.15192469843533826,0.27330792578975477,0.019664310283893136,0.18216532424662688
