,la,nd,ld,lt,rexp,fix,entrophy,nuc,ndev,age,ns
0,0.03155493905766784,0.020108013461888268,0.026441922867018384,0.018575359286883777,0.05000181917409502,0.01734900855011825,0.0019883572857922484,0.015575313807531374,0.0804109059486993,0.01525604875386575,0.0
1,0.022819622511852943,0.015075093823001743,0.024644207591914675,0.11040816326530609,0.04971320889720117,0.25524199161570377,0.04881512042463434,0.032483896448451795,0.10394262938187505,0.03394680027699697,0.0
2,0.00739653280667106,0.01236998025016458,0.005520078999341678,0.0109372394118938,0.01381062102260262,0.013526003949967107,0.02109677419354834,0.018397630019749873,0.019665788896203643,0.014452490673688834,0.0
3,0.008710643986539455,0.036139768588945735,0.0065788503203798475,0.024779421933342607,0.009552390171944885,0.0049649656571244365,0.03142511409210345,0.021241644770202413,0.04561425344581212,0.02496012538606926,0.0
4,0.004046235921754586,0.03595732068761111,0.005350523611934391,0.020913258249357865,0.018586050187709962,0.010417506421655806,0.037111440426793145,0.020455048409405256,0.02376822762299941,0.03655977079628535,0.0
5,0.0015157807308970046,0.05533668635412824,0.02153669865879171,0.011845238095238138,0.02013658176448877,0.004913867355727819,0.01331026208933185,0.0062143164759444,0.00882367417251141,0.03372508305647835,0.0284099298634188
6,0.004107115615124773,0.05853884711779433,0.036849188187861204,0.012271657404380595,0.015641604010025137,0.009200501253132858,0.008842214231230279,0.004129127165740449,0.010142748174784813,0.04178413424866516,0.04788329519450764
7,0.007779535864978939,0.0844588230861965,0.06272707579867384,0.01235740657022308,0.011961460216998246,0.0154864564496685,0.005412616787221249,0.005226510699216408,0.010183751506931928,0.06314722724532869,0.039886697558770126
8,0.002506441150616823,0.0769471977205903,0.003509441969021832,0.009663696159558675,0.02569428025825224,0.02534903458518992,0.020489072777424178,0.003636900972992621,0.020601376132884718,0.07359037313206626,0.038603255433299566
9,0.042080091295777555,0.04880641145347029,0.032254383234775426,0.017028218694885362,0.01930231351799983,0.008738977072310406,0.008147629422139218,0.005143687104471421,0.0016500674343811592,0.02856572258533042,0.02045492270982469
10,0.0024180911680911697,0.042861212861212944,0.005350020350020346,0.008300773300773296,0.005458384208384198,0.010586080586080586,0.007859686609686604,0.008632987382987366,0.004631155881155869,0.07093915343915341,0.030234533984533938
11,0.005499372715867543,0.052315769377625096,0.013959799269077644,0.01717667593956255,0.017254677357770164,0.014211258386516112,0.026169748540882564,0.014791087110674755,0.007886325205912845,0.12346369933998812,0.030337642502591005
12,0.00512975166610819,0.0713654640902491,0.01869485088797052,0.01717543467738934,0.023524703079042433,0.012831266986857314,0.02182564503518375,0.005850925201980717,0.0067171153058565225,0.07064019509289263,0.0346745969693581
13,0.012290883458646618,0.07741345551378463,0.04351601660401007,0.013035910087719326,0.0023582393483709235,0.005327380952380935,0.008959703947368442,0.006976817042606537,0.012258967731829596,0.08314164317042616,0.0025366149749373413
14,0.0251765830589779,0.1023703175734537,0.009611987917048521,0.002523368292434573,0.01802251411374718,0.0013903992578262008,0.011793718675400794,0.008919752457885038,0.007882915294889643,0.04370845919741151,0.003902680197762165
15,0.019890189728899377,0.09871424419811527,0.002600157761448072,0.00800763897538092,0.02021879021879024,0.013863079669531299,0.02608440237472495,0.02012496367335081,0.0071916386432515555,0.0424322248515797,0.013757213434632827
16,0.0025999852387442175,0.10635129752710791,0.003942775955950376,0.014057328390857673,0.00850641541991321,0.00934136803755465,0.04585704996303325,0.030175474428033165,0.008979265525723402,0.053280275526474255,0.006176427547048322
17,0.011835082735487173,0.12488490057296962,0.027250477474441055,0.012406880446819785,0.004015247082992284,0.004564848251400321,0.019341526634246587,0.018964193429309734,0.007276975299725556,0.03775776397515532,0.007768918420081212
