,la,ndev,sexp,ns,lt,nuc,age,entrophy,fix
0,0.020286877394636003,0.019916427203065145,0.002044346378398098,0.00525920224411603,0.02433037994891446,0.06401505199781063,0.3376523102536033,0.028579832603539503,0.019336070060207988
1,0.025833390844260392,0.035777593742811135,0.08205332413158495,0.0012529560616517147,0.03999838969404187,0.10353297676558547,0.10722483321831146,0.04383693351736827,0.05728166551644811
2,0.15488783259106997,0.08667948498344177,0.2112127155418523,0.0,0.09314882379810445,0.033639288569144686,0.17590073655361407,0.05742374671691218,0.05151184766472539
3,0.005694559618042433,0.01207105163965321,0.15665604975499445,0.0,0.06201482598316374,0.2225616911672322,0.005505591154667671,0.009105855006910414,0.01137536122628471
4,0.12240884559884563,0.08063165945165944,0.06887565656565654,0.0008757720057720065,0.07956512265512265,0.15641470418470416,0.061791746031746066,0.10031880230880229,0.03790040404040404
5,0.09811046609456495,0.007475685680632675,0.011346373885243163,1.348548285211652e-19,0.0018194514554938559,0.00335503954231869,0.005402826855123676,0.4341802120141335,0.006078327444051823
6,0.09370647595647597,0.07876948051948052,0.060036738036738015,0.0007867380367380358,0.06817760617760613,0.13050269100269102,0.04086037011037015,0.13989133614133625,0.034984117234117235
7,0.017223255813953443,0.04194114064230336,0.01232569213732006,1.3855599484284521e-17,0.047269822812846106,0.03436400885935768,0.1410733665559247,0.27413925802879296,0.05225393133997782
8,0.11628087606837606,0.10384673382173369,0.05419772588522588,0.02690157203907205,0.09955763125763123,0.04944696275946274,0.19284157509157496,0.06451275946275946,0.16963296703296693
9,0.09358066502463047,0.06404684364167125,0.055963122605363985,0.003910577449370546,0.07509475916803504,0.08029365079365076,0.1990438104360517,0.07204392446633828,0.05228044608648054
10,0.11618638245812156,0.10541335717422673,0.057866114561766754,0.004028248321726584,0.09734661835748797,0.08212444318966057,0.11325098814229252,0.09212626262626261,0.04130019135453916
11,0.04976628984927306,0.059338568760837665,0.13080145391489922,0.0008114412431639375,0.10524698212618375,0.10993288982259566,0.10154361744697882,0.16364850940376147,0.0393861377884487
