,la,nuc,exp,rexp,fix,entrophy,ns,lt,ndev,ld
0,0.19692729907064502,0.0,0.20957499034545066,0.10255991804722572,0.0,0.14109023838140022,0.0,0.0,0.0,0.0
1,0.25993717766971663,0.05607225122100925,0.0,0.1108953573259673,0.0,0.1300006987745486,0.0,0.11250980381601483,0.0,0.019071522972259
2,0.3129362409356966,0.11790992522365064,0.012451413469932044,0.15423595735741708,0.035032740256596556,0.09233255873070675,0.0,0.0,0.0,0.04161970999225903
3,0.3544400155013006,0.0,0.0,0.11069797375851177,0.0,0.0,0.061098654708520314,0.0,0.0,0.054162514532469695
4,0.2753228780835557,0.07708401405092846,0.044856442234585875,0.0,0.01977990696320282,0.01329647890410429,0.0,0.0649059546011322,0.11057414164841489,0.05427111031547117
5,0.17333367515208253,0.0,0.0,0.0,0.0,0.0,0.0,0.1475524712745919,0.0,0.0
6,0.15084646312637362,0.0,0.08459042857281866,0.0454038569420199,0.0,0.07078269600165213,0.0,0.20596116258989522,0.01294307706992879,0.02612491685216664
7,0.0,0.10611266836620303,0.0,0.049382172388769116,0.0,0.0981516344725385,0.0,0.25115588580306736,0.0,0.10444095763815314
8,0.2188291665684244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.13823947122195712,0.0,0.056263824549834626,0.0,0.0,0.0413989931010564,0.0,0.1732523709629054,0.0,0.09674449277528706
10,0.17100085191889164,0.03496660970910097,0.0,0.07520649960596029,0.0,0.0,0.0,0.0,0.029162135581202165,0.05703077498052303
11,0.14035825331809984,0.03662446818292458,0.005146998512042647,0.03937320672304154,0.0,0.020451858058594428,0.022854471364413907,0.14150179804864313,0.05867793877895708,0.21490338346238466
12,0.17670088040314264,0.046776865331231744,0.04620836464247285,0.10617208793720727,0.021860835645986815,0.050413051869841206,0.0,0.1862107380545433,0.0,0.07745844120966112
13,0.04821374573879849,0.06554884183607616,0.07559273067374638,0.025240617387460446,0.0,0.10708194941719286,0.0,0.1858358293686455,0.021433046720966565,0.008500256965227077
14,0.17220221343443873,0.1086354435038643,0.0,0.0,0.0,0.0,0.0,0.058701841924653615,0.0,0.0
15,0.21488978399626632,0.030806299263891602,0.17337368649156853,0.06166094878510094,0.12259447674418604,0.0,0.0,0.0,0.0,0.07411978629297229
16,0.10067479701939959,0.11992531972531725,0.060837508544151514,0.0,0.0,0.0,0.0,0.1177606455628829,0.0,0.0
17,0.0509854449701308,0.1092544300513258,0.0,0.0,0.0,0.3791195159444704,0.0,0.13613371327178936,0.03950196783212366,0.0
18,0.18749579010489836,0.0,0.0,0.0834073316521135,0.10195167998773311,0.0,0.0,0.25199870759643067,0.0,0.0
19,0.12943716402472913,0.0,0.07369498719478297,0.1343476011573246,0.0,0.0,0.0,0.22067346142547195,0.040070252218364216,0.0
20,0.19594723901549413,0.0,0.0,0.0,0.0,0.0,0.0,0.18521404952779208,0.0,0.0
21,0.21295015739259343,0.0855670013408109,0.044164430472139936,0.08141185071724853,0.0,0.0,0.0,0.1623575364741537,0.0,0.022259979977719193
22,0.17756420002961543,0.0,0.21120347804461104,0.012436704519513142,0.0,0.08106450618187165,0.0,0.0,0.02786413500699216,0.048453369881941315
