,age,exp,fix,la,ld,lt,ndev,ns,nuc,rexp,sexp
0,1.6027895555521817e-73,1.5215525325984234e-73,0.0,1.554552339593495e-73,1.3911604377706005e-73,1.5132636985740404e-73,4.171772312747036e-74,4.12710254246284e-74,2.5765404836590234e-73,1.6270968262159755e-73,1.3926214538970672e-73
1,2.6853692907292384e-77,2.5719330278429993e-77,0.0,2.973870001556068e-77,4.9240488967458836e-77,2.7292665925761336e-77,1.1297018032124647e-77,4.971631446369541e-78,4.462249877268555e-77,3.061889814145098e-77,2.4424947328272273e-77
2,1.5180270722008264e-82,1.601426375158368e-82,0.0,1.466728364505442e-82,1.5355714446168885e-82,1.5639643416250093e-82,6.2875207631524476e-83,5.1356189115772055e-83,2.3836003482949627e-82,1.916831789691048e-82,1.4748364955303378e-82
3,4.189986428693636e-117,4.140007397738863e-117,0.0,4.940775050344395e-117,4.2962607780945866e-117,4.158068329483724e-117,1.40309121094165e-117,9.369885136196438e-118,7.175142940619604e-117,4.9149687783195554e-117,4.201745380059028e-117
4,0.0006139465004555968,0.0010423590970214255,0.0,0.0011493328084679537,0.0005069394500824114,0.0005883298301597624,0.00016725876052907832,0.0002928286144054984,0.0006610481117117797,0.0005219801738273991,0.0010634940783808284
5,1.6304325071485254e-77,1.630812887170732e-77,0.0,1.6468523382855352e-77,2.7131310356427912e-77,1.7040253744467773e-77,5.692370646444795e-78,6.866503028900473e-78,2.8896009924166187e-77,1.9379677115280227e-77,1.6985686902191738e-77
6,7.220567060323071e-134,7.915152453990558e-134,0.0,8.910499158311328e-134,7.88580284433169e-134,8.00850194795456e-134,2.915500304471539e-134,2.2637004454893035e-134,1.3973937933979239e-133,8.123321649197117e-134,8.281127400918422e-134
7,1.0269446897039697e-112,1.0157220040690907e-112,0.0,1.1428522458510951e-112,9.385172173853013e-113,8.425668488916947e-113,3.0882470926273486e-113,3.3076128723348145e-113,1.5062379407156454e-112,1.0438594939156456e-112,8.866943167585569e-113
8,9.835585949847711e-113,9.280036435207758e-113,0.0,1.200809553812767e-112,9.13094906907685e-113,9.713391348005937e-113,5.547712160316462e-113,2.4638177561635274e-113,1.798091668600077e-112,1.1749842809058582e-112,9.673267632726322e-113
9,2.0486144670616675e-60,2.0518029946675377e-60,0.0,1.9654081031229117e-60,3.993088096251311e-60,2.322417223208524e-60,9.5453780147282e-61,6.176150529002627e-61,1.5832862802615604e-60,2.468816388357402e-60,2.160045455037506e-60
10,1.7135402319605927e-155,1.707982106519503e-155,0.0,1.8952430899464645e-155,1.5947724295229526e-155,1.7360418932859415e-155,3.3830845771480365e-156,5.710032014214321e-156,3.0751235655986045e-155,1.8062113694911646e-155,1.6595314361610156e-155
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5.399789257528265e-115,5.516238039639109e-115,0.0,5.502720891683158e-115,5.32787408029723e-115,5.559145099320007e-115,2.557358728628707e-116,1.7837093441534074e-115,8.949067171974694e-115,6.45022396247648e-115,5.431957047183443e-115
14,1.4834086608749728e-58,1.4583995210622556e-58,0.0,1.4399714456226011e-58,1.498618775066415e-58,1.4033390347354721e-58,6.188738309311138e-59,4.643274516582083e-59,2.1969900239192338e-58,1.3935241618965426e-58,1.3138047268556765e-58
15,0.0006406763251648885,0.0010006434222893993,0.0,0.001089104238021038,0.0005785153852179653,0.0006415878854679881,0.00016941797295926092,0.0003595387337125479,0.0006267384026665902,0.0005563511391283278,0.0010412769694790748
16,6.445644263502531e-88,6.025092490024529e-88,0.0,5.884068467537496e-88,5.793295634775273e-88,6.842049660296123e-88,1.1884746658530244e-88,2.1321411532535457e-88,1.0012682621414497e-87,7.035724629163283e-88,6.166708455510027e-88
17,2.3349324218240115e-70,3.956960261268625e-71,0.0,3.685641998408759e-71,3.6001953047401736e-71,3.684187398446937e-71,1.1143836226993144e-71,1.3859212623226086e-71,6.5617789602885545e-71,3.4536721339051025e-71,3.603072438243398e-71
18,2.3339799532126767e-156,2.515230240429897e-156,0.0,2.3085383999512286e-156,2.2293174387037465e-156,2.274354382194318e-156,7.577577282004856e-157,6.451756928220551e-157,3.9674908228215223e-156,2.643511405769041e-156,2.2160815109926695e-156
19,7.575500621180159e-134,7.136115290374904e-134,0.0,8.367300365415195e-134,7.543986453183896e-134,7.102962129717361e-134,7.659579329105021e-135,2.150354448249501e-134,1.3025103271779262e-133,8.263510212680296e-134,7.042915819351615e-134
20,4.587492544972988e-100,4.847409062647997e-100,0.0,4.895140112837238e-100,4.2840282370722035e-100,4.4654276193877446e-100,1.7110850642985243e-100,1.1085865337071161e-100,7.880608810391668e-100,4.669770576888509e-100,4.904514891728722e-100
21,5.082491442629403e-08,8.72687309646264e-08,0.0,8.619524232785799e-08,4.330333637253309e-08,5.157209407429142e-08,2.5569545613193634e-08,2.504015245512641e-08,5.411827792297612e-08,4.436711551319913e-08,9.434743430676302e-08
