,age,entrophy,exp,la,ld,lt,ndev,ns,nuc,rexp
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.9966324822205796e-05,7.373798333962104e-06,2.07006750803383e-05,1.2840088674341823e-05,1.7819748417964067e-05,2.531368139971871e-05,0.0,6.974747090195278e-06,4.557318730740973e-05,3.7241930081631515e-05
5,0.000947772640366438,0.000337900893466199,0.0010945334079102659,0.0012582491597038531,0.0012349102578521976,0.0011011046344561232,0.0,0.0003045864645981346,0.0006711820778307094,0.001246635234176284
6,1.1704677735565147e-20,3.234467474692856e-21,1.1161334362419237e-20,3.004410324178274e-20,1.1076043815801714e-20,9.828474501319603e-21,0.0,3.1837239858274095e-21,1.4886154506428524e-20,7.629925208908556e-21
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.335113846456511e-225,1.7501099016424448e-225,5.617846953359165e-225,3.8025925463238567e-225,4.7930110837982477e-225,5.804187232467637e-225,0.0,1.5011741849853737e-225,6.606515001277732e-225,5.283079323061376e-225
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4.039937220171526e-12,9.31170464964106e-13,2.5258973658901202e-12,2.4195509537145675e-12,2.071163008260328e-12,2.091722158172665e-12,1.8459745943580792e-09,7.067067523734328e-13,2.7197113346038633e-12,4.800747124448175e-12
12,3.110956546005851e-42,8.714062494703464e-43,3.2600916597714804e-42,3.265301699778182e-42,2.98672826831655e-42,3.014812617529449e-42,2.51470089795248e-39,8.950761860328168e-43,3.8624045208065455e-42,2.3048964389618058e-42
13,4.12145313027507e-12,6.499368086248942e-13,2.327292737920769e-12,2.5829516974844963e-12,2.120021075549418e-12,2.27264363675589e-12,1.8457774185078935e-09,9.606673073196882e-13,3.088045631800176e-12,4.706193528537679e-12
14,8.855466880103943e-06,2.104607064829241e-06,6.497975135975585e-06,5.8228084534920995e-06,5.8799473391757484e-06,5.120193284774469e-06,0.0,1.751508127319266e-06,7.105185512388799e-06,6.11532876705155e-06
15,1.0075222808617765e-08,1.8166001356775732e-09,6.128917929635376e-09,5.824902019686559e-09,5.974151031966654e-09,5.03917422112337e-09,0.0,1.9851208624229493e-09,6.953961871459943e-09,5.841377354695261e-09
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.2112895393925381e-117,4.845233742948157e-118,1.2400145884557339e-117,7.291519323647423e-118,8.33003883279649e-118,1.0383179328744293e-117,0.0,3.459308420533482e-118,1.5075409434398227e-117,1.2456608681250057e-117
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0008702301496431037,0.0005048053853465667,0.0012287098133733558,0.003085529806103431,0.001050621777481399,0.0010905233462797947,0.0,0.0003237078812499068,0.0005936196186057135,0.0012187721534515814
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5.751766903021953e-09,2.13401284192681e-09,5.307409108897625e-09,5.321853003094112e-09,4.959861484751695e-09,4.89748486775053e-09,0.0,1.3246392082039087e-09,6.8588745636356846e-09,3.6433126456835647e-09
23,0.0009427251606450686,0.0002719900094575929,0.00117439454070683,0.002927348513055078,0.001106935551871721,0.0011649047998824643,0.0,0.00036658167375135803,0.0006965978368537286,0.001144157761051256
24,9.440147062983193e-06,1.5771465474450066e-06,5.954955103191078e-06,5.940368725114873e-06,5.129811838333369e-06,4.804688979075375e-06,0.0,1.6732112796253075e-06,6.364685098863385e-06,5.927478479306159e-06
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.9980077719867012e-16,6.702942725571648e-17,1.7801178763569532e-16,1.1667989628782063e-16,1.3854038398906768e-16,1.63452786905055e-16,0.0,5.3003565342400094e-17,2.3579921090889373e-16,1.2843301777651497e-16
27,5.832789860962014e-09,1.738351857946057e-09,5.667651164219974e-09,5.8118083458094305e-09,5.0455227909068435e-09,5.0436693305598924e-09,0.0,1.6937338583846887e-09,6.776888484878135e-09,4.054508255570804e-09
28,1.1529705917882311e-20,3.942651844220562e-21,1.1022369630097328e-20,2.8585418461422016e-20,1.0751150617427686e-20,9.402034156969684e-21,0.0,2.6554118969831692e-21,1.3212330346424017e-20,8.600464436211773e-21
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,6.43760766837345e-08,1.8377252274652525e-08,4.130770432701292e-08,3.836914765865627e-08,2.733783338357315e-08,4.1030570262129904e-08,0.0,1.5516134043944762e-08,4.648635617840559e-08,7.463938536926378e-08
