,age,exp,fix,la,ld,lt,ndev,ns,nuc,rexp,sexp
0,1.6708339900486764e-73,1.6146790808906363e-73,0.0,1.426961040229299e-73,1.48089357289921e-73,1.6164322723110386e-73,0.0,3.754877789508812e-74,2.4231127508478632e-73,1.480697996368481e-73,1.500411590241969e-73
1,2.0090818136391312e-77,1.8857930267070867e-77,0.0,1.8160449967775406e-77,3.179234632885488e-77,2.0631936737006548e-77,0.0,4.0069105192693446e-78,2.7095332220519913e-77,1.7445339505973083e-77,1.8096837360535193e-77
2,4.7239540856404146e-83,4.903520850422994e-83,0.0,5.032148837151028e-83,5.092494621441608e-83,4.969841353622631e-83,0.0,1.5425155722028408e-83,7.131509054537325e-83,5.3814384858346534e-83,4.849259669388177e-83
3,4.6723263156712786e-117,5.154636958763366e-117,0.0,4.7328848776538876e-117,5.049564559288614e-117,4.794109878486493e-117,0.0,1.6235125164131893e-117,7.086531854635157e-117,4.623829721196171e-117,4.9216775077485156e-117
4,0.0005492890723618424,0.001085391402286539,0.0,0.001072841464372133,0.0004855133177079493,0.0005386216587888995,0.0,0.000297354766059989,0.0005159596105037204,0.0005582724061782958,0.001028545352549229
5,1.5753251901350407e-77,1.3783491950001422e-77,0.0,1.4446446386160365e-77,1.6256989584391924e-77,1.5370004021255683e-77,0.0,3.660127456854488e-78,2.4679805402163032e-77,1.5467226320807743e-77,1.5222632190692794e-77
6,2.850145278969184e-134,2.922899406841957e-134,0.0,2.94805978495527e-134,3.0318963216146076e-134,3.070355499559569e-134,0.0,8.557951620069886e-135,4.497471808865889e-134,3.2090455660617487e-134,3.2321432663951686e-134
7,5.347129090495551e-113,5.42457469483149e-113,0.0,4.914171374727643e-113,4.8544206575248383e-113,4.587705732911878e-113,0.0,1.4752743043572045e-113,7.312008328192564e-113,5.0645815519701866e-113,5.245841639514847e-113
8,5.0924132603900284e-113,4.9390023744695933e-113,0.0,5.541004434478053e-113,5.0245941311118614e-113,5.0184786652441783e-113,0.0,1.2035659557602749e-113,7.546920584275542e-113,5.536560328940571e-113,5.196116988624234e-113
9,5.752233951629254e-60,6.048521841247039e-60,0.0,5.765132806380876e-60,8.895171855736442e-60,6.155859779347532e-60,0.0,1.76760027099748e-60,4.274598072696004e-60,5.97393255836269e-60,6.057121341217528e-60
10,6.193000258145793e-156,6.522911633976672e-156,0.0,5.977319756269956e-156,6.703575438093691e-156,6.399363324821966e-156,0.0,1.941060788287529e-156,8.680600569243278e-156,6.424626831361361e-156,6.277585780374048e-156
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3.02213154449893e-115,2.947750051696625e-115,0.0,3.3215720505008416e-115,3.178981107976882e-115,3.030197297416779e-115,0.0,9.724996801476852e-116,4.383156398650087e-115,3.009179709973225e-115,3.1411623848330952e-115
14,7.638632118277252e-56,9.265206879223975e-59,0.0,1.021920899837397e-58,1.026430840506032e-58,9.37339344525801e-59,0.0,3.5446949566302706e-59,1.596175607643445e-58,9.925806373353205e-59,1.0001640903301469e-58
15,0.000581228366570466,0.001112204663000704,0.0,0.00113311230584003,0.0005139672504848879,0.0005732636995240658,0.0,0.0003597193808720955,0.0005264691333749102,0.0005616978794549379,0.001109111645987173
16,2.1949010393565004e-88,2.118085702133302e-88,0.0,2.025815500759727e-88,2.057157263129376e-88,2.0130991236472696e-88,0.0,4.091425686916356e-89,3.202792510958008e-88,2.0364234828446822e-88,2.0666036048564925e-88
17,9.945933000330727e-68,1.2423708334355881e-70,0.0,1.8354044486774555e-70,1.3001181657907367e-70,1.3430290079817784e-70,0.0,3.883490878523705e-71,1.7732106581834265e-70,1.1432350013110893e-70,1.2737312562506431e-70
18,2.6875741961726663e-157,2.945752793734919e-157,0.0,2.7087731795932703e-157,2.641720750606222e-157,2.788141443598604e-157,0.0,7.620673472730334e-158,4.063611486483516e-157,2.952693983991116e-157,2.7272919239645002e-157
19,2.951326749367935e-134,3.0480571588883163e-134,0.0,3.1216021443817163e-134,3.097886186807103e-134,2.9283746458994206e-134,0.0,6.160985002214718e-135,4.780177490605294e-134,2.976703846368915e-134,2.96044555914807e-134
20,4.153004856480419e-101,4.135301734821384e-101,0.0,3.779782583623791e-101,4.044986054102739e-101,4.0606174716469853e-101,0.0,7.486704266898405e-102,6.268171912600393e-101,3.8222244176967944e-101,4.521229486075877e-101
21,4.0274870971677697e-07,7.883765656019222e-07,0.0,7.796721051659192e-07,3.487507788168066e-07,3.978249151284217e-07,0.0,2.65478100195353e-07,3.820063420948269e-07,3.9864428905111417e-07,7.778501245747653e-07
22,9.605495672516752e-25,9.480776240161648e-25,0.0,9.876133150927199e-25,1.0219571522562766e-24,9.891207271171135e-25,0.0,3.9803043388914306e-25,1.4532722600878187e-24,9.369367923578034e-25,9.290669785695945e-25
23,3.4831217224939455e-46,7.11991402440279e-46,0.0,6.961934029487142e-46,2.8806756928627548e-46,3.523158312621521e-46,0.0,2.3431287472988352e-46,3.7440862666681375e-46,3.6607478724564906e-46,6.990400836501674e-46
24,1.6870590656216255e-43,1.6337775845471972e-43,0.0,1.5308865298246254e-43,1.6171149134162058e-43,1.671858323109861e-43,0.0,5.080093091086672e-44,2.2419771155324497e-43,1.6685045214517553e-43,1.6567209865513838e-43
25,2.5089457395558036e-110,2.8396812655663744e-110,0.0,2.5268967828303196e-110,3.934829544451346e-110,2.852322712506661e-110,0.0,7.576547113443438e-111,3.954209787413726e-110,2.432376913247077e-110,2.6138250030854285e-110
26,7.390760417892862e-129,6.53302229344674e-129,5.270152620465674e-126,7.1834463553401e-129,7.816620514808104e-129,6.980704477994027e-129,0.0,2.0834418236566153e-129,1.0672634237738491e-128,6.9707652223438e-129,6.460408203067569e-129
27,3.850242112814883e-101,3.928156821020172e-101,0.0,4.0409945582753345e-101,4.231909540876161e-101,4.621418305799313e-101,0.0,1.3489197907978694e-101,5.911437052735606e-101,4.14565564330124e-101,4.235582733413836e-101
28,1.3180269234392492e-88,1.3089858057645386e-88,0.0,1.1558594587224901e-88,1.2250666071826912e-88,1.4116727207301986e-88,0.0,3.1360448569436427e-89,2.0447576228594852e-88,1.2694276180500519e-88,1.1859711982195694e-88
29,3.3367965679340387e-63,3.443623552205084e-63,0.0,3.4593914528699695e-63,3.199999756004473e-63,3.622405392863796e-63,0.0,1.1072328001119932e-63,5.142352030132664e-63,3.2430037453918786e-63,3.6559224103025086e-63
30,3.2284638551891054e-77,3.3954393178779268e-77,0.0,3.547365792755813e-77,3.0691337473135547e-77,3.286201712746679e-77,0.0,1.0774125236550319e-77,4.913138341266884e-77,3.0733300124194164e-77,3.0319237843729432e-77
31,5.118259762677805e-89,5.3336105444856045e-89,0.0,4.9866188759222855e-89,5.109821573852165e-89,5.652795131767862e-89,0.0,1.8383790370324418e-89,8.344984117839436e-89,5.383193368566468e-89,5.3231459562840486e-89
32,1.980468796267096e-167,2.036591563396802e-167,0.0,1.9867291068556938e-167,1.9083636883246746e-167,1.9638858245960147e-167,0.0,3.120283834206834e-168,3.116449822303244e-167,1.9864163099655577e-167,2.0597091558483256e-167
33,4.22502248576271e-79,4.0507389917028635e-79,0.0,4.235548932079386e-79,4.074592872834059e-79,4.2051821558928393e-79,0.0,1.458797869076595e-79,5.974735731427428e-79,3.899210016070016e-79,3.935948837757625e-79
