,age,fix,la,ld,lt,nd,ndev,ns,nuc,rexp,sexp
0,-0.04652864818226863,-0.0010393434603063018,0.09984630248347398,0.02703639399230104,0.08152869623157881,0.09323622205419876,0.03598481261296202,0.004834490352704974,-0.0180014172298977,0.02371761791953138,0.1432210979096646
1,-0.04459117556436306,-0.017796745137888526,0.1093259785458923,-0.025509188085403055,0.048670856876403455,0.1100618612946771,0.054693338995681844,0.029571158149100333,0.024038284225167312,0.005259826398973882,0.046095406779530564
2,-0.011111799465328583,0.0057577882090108804,-0.26138716162806486,0.031173039590658102,0.06915048425422038,-0.07145506492156173,0.06340100165955911,0.018048455486870302,-0.12342775461626633,-0.02615554458549825,0.14942014233069134
3,-0.032486646483121884,0.0045634581614835456,0.10516337305219,0.035466660572425555,0.07342910562360981,0.06353324262565552,0.05303824443160189,-0.02274689115632837,0.009291370289865581,-0.010115600263809194,0.16681413709489182
4,-0.0243339832052827,0.02681608882895412,-0.1968052317821647,0.03304023468420922,-0.20325063648780026,0.062247403407952505,0.09694302938528554,-0.02129799746012997,0.16286277947697456,0.0019938812148548473,0.05066824065043129
5,-0.04519030683002782,-0.02813398331091784,0.09345756209861253,-0.02648954728492469,0.06426862016207797,-0.06470828785273092,-0.007347094500258405,-0.02616164824989887,0.17862615803945434,-0.015666049276043963,0.1791113133845059
6,0.03901428044755787,0.006836192499611303,0.3715545621462314,0.030827323894483855,0.07748568588767467,-0.05732270118214043,0.05249798405651086,0.014348764660059566,-0.0426397032007526,-0.002810624513872439,0.03175355222477539
7,-0.05810791139035856,0.0011173457017540679,0.0990046770173486,0.010416537998569392,0.06592842016085095,-0.06109278919442049,0.006847175764587549,-0.007560408345145621,0.17551900203375387,-0.02053235216548822,0.1444343338798489
8,-0.04716320407668231,0.0006081711599669295,0.10350550696738141,-0.01274667300589763,0.06432311306764396,0.09957330904337047,-0.06072945016446259,0.018521543272439583,-0.12178584447376384,-0.0051544924381458496,0.060416250536386766
9,-0.060051467882620384,0.027242647561912567,0.10902299340760266,0.0003277996261778353,0.05628362165405572,-0.06555658347141025,-0.058261405666566984,-0.0032036007630018046,0.17417982903512766,0.006982622247216432,0.16338248204111902
