,ndev,nuc,sexp,lt,ld,fix,age,nd,la,ns,rexp
0,-0.0010928961748633893,0.03114754098360657,0.016393442622950838,0.008196721311475419,0.022404371584699455,-0.00601092896174864,-0.004371584699453557,0.033879781420765066,0.126775956284153,-0.0032786885245901674,-0.002732240437158473
1,-0.0027874564459930305,0.032752613240418095,0.011846689895470353,0.01045296167247387,-0.007665505226480862,0.0034843205574912606,-0.0055749128919860835,0.02160278745644595,0.07665505226480836,0.0013937282229965042,0.0013937282229965042
2,0.0007662835249042654,0.06819923371647514,-0.013793103448275824,0.006896551724137989,0.02911877394636018,0.006896551724137989,-0.0030651340996168176,0.014559386973180133,0.10114942528735635,-0.0053639846743294365,0.01685823754789275
3,-0.0034155597722959953,0.017457305502846344,-0.007590132827324414,0.025047438330170823,0.017836812144212556,0.0015180265654649362,0.008349146110056993,0.009867172675521885,0.10322580645161297,-0.013282732447817792,0.009108159392789417
4,0.007627118644067776,0.006355932203389814,0.023728813559321972,0.006355932203389814,-0.0012711864406779628,0.0004237288135593209,0.0016949152542372835,0.02245762711864401,0.15127118644067794,0.004237288135593209,0.007627118644067776
5,2.2204460492503132e-17,0.011663066954643652,0.000863930885529185,0.02203023758099354,0.0025917926565874883,0.016414686825054026,0.0077753779697624205,0.01123110151187907,0.1356371490280778,0.0025917926565874883,-0.004319654427645791
6,0.005328596802841879,0.0003552397868560986,0.014209591474245076,0.01669626998223799,0.006039076376554165,0.008880994671403153,0.002131438721136769,0.013499111900532856,0.11296625222024863,-0.0017761989342806928,0.002841918294849011
7,0.02344582593250446,-0.0031971580817051317,0.005683836589698043,-0.009591474245115462,-0.008525754884547076,-0.008170515097690956,-0.009591474245115462,0.006394316163410285,0.05932504440497335,0.0014209591474245054,-0.003907637655417418
8,-0.007504690431519712,-0.015384615384615375,-0.03227016885553471,0.0018761726078799334,0.0007504690431519911,-0.009756097560975618,-0.0063789868667917474,0.013133208255159467,0.09606003752345216,0.0033771106941838714,0.0011257035647279866
9,0.012400635930047699,0.0038155802861685297,0.020985691573926844,0.007313195548489681,0.004133545310015907,0.005723370429252794,0.004769475357710662,0.0406995230524642,0.1055643879173291,0.02607313195548484,0.020031796502384715
10,0.0031468531468531236,0.004895104895104874,0.0013986013986013734,0.011188811188811144,0.0006993006993006645,0.005594405594405582,0.0013986013986013956,0.00034965034965033225,0.1101398601398601,0.0003496503496503545,-0.0006993006993007533
11,0.024568965517241415,0.025000000000000022,0.01724137931034484,0.021120689655172442,0.002586206896551757,0.0,0.018534482758620706,0.052155172413793104,0.06594827586206897,0.0,0.008620689655172441
12,0.018648018648018662,-0.002331002331002274,0.0060606060606061,0.00139860139860144,0.006993006993007001,0.005594405594405627,0.0032634032634033085,0.0060606060606061,0.04382284382284387,0.014452214452214496,0.021445221445221475
13,0.019459459459459462,0.005945945945945952,0.004324324324324324,0.007567567567567579,0.024864864864864854,0.0021621621621621843,0.0021621621621621843,0.004864864864864882,0.08864864864864866,-0.005405405405405394,-0.005405405405405394
14,0.0056122448979591955,0.014285714285714323,-0.0005102040816326037,0.010204081632653118,0.022448979591836782,0.0010204081632653405,0.0005102040816326925,0.014285714285714323,0.11887755102040823,0.0010204081632653628,-0.015816326530612178
