,ns,entrophy,ndev,la,lt,ld,age,exp,rexp,nuc
0,0.00733944954128436,0.0,0.0,0.013761467889908197,-0.006422018348623881,0.008256880733944904,0.00550458715596327,0.0009174311926605228,0.00366972477064218,-0.0018348623853211565
1,0.012944983818770184,0.014886731391585717,0.0,0.00970873786407762,-4.4408920985006264e-17,0.005825242718446533,-0.0025889967637540813,0.0,-0.0006472491909385259,0.003883495145631022
2,0.0,-0.003558718861209953,0.01067615658362997,0.03274021352313172,0.01637010676156587,0.003558718861209997,0.007829181494661963,0.009964412811387957,-0.0021352313167259497,0.009252669039145988
3,-0.00441988950276242,-0.007366482504604033,0.00036832412523020165,0.01767955801104979,-0.004788213627992621,-0.012523020257826856,-0.015101289134438266,-0.00220994475138121,-0.009944751381215445,-0.013627992633517461
4,0.016363636363636403,0.004545454545454586,0.004545454545454586,0.0613636363636364,0.006363636363636349,0.009090909090909104,-0.005909090909090886,-0.007272727272727253,0.0036363636363636598,0.03272727272727274
5,-4.4408920985006264e-17,0.014634146341463383,-0.0013937282229965486,0.03832752613240416,0.02996515679442504,0.01602787456445991,0.02578397212543553,-0.002787456445993053,0.02508710801393723,0.009756097560975553
6,0.013095238095238049,0.013690476190476142,0.0011904761904761862,0.061904761904761865,0.013095238095238071,0.06666666666666665,0.011904761904761862,-2.2204460492503132e-17,0.01726190476190472,0.02261904761904756
7,0.004597701149425237,0.024712643678160905,0.0045977011494252595,0.1436781609195402,0.03275862068965514,0.006321839080459757,-0.004597701149425304,0.01781609195402296,-0.007471264367816111,0.014942528735632177
8,0.01460674157303372,0.01404494382022472,-0.003370786516853919,0.020224719101123577,0.013483146067415719,0.02415730337078652,0.011235955056179758,0.007303370786516839,0.00393258426966292,0.01573033707865168
9,-0.0016483516483516425,-0.00219780219780219,0.0049450549450549275,0.015934065934065943,0.0197802197802198,-0.00219780219780219,0.00219780219780219,0.04175824175824176,-0.0027472527472527375,0.017032967032967063
10,0.0,0.0,-0.0045088566827697464,0.017391304347826077,-0.006441223832528165,-0.00032206119162641044,-0.0025764895330112835,0.025120772946859903,-0.0035426731078904926,-0.0032206119162640824
11,0.004255319148936221,0.008510638297872398,0.005673758865248279,0.05673758865248231,0.01702127659574475,0.004255319148936243,0.008156028368794388,0.021985815602836946,0.008156028368794388,0.02198581560283692
