,ld,exp,lt,fix,ndev,ns,entrophy,age,la,nuc
0,-0.1,-1.1102230246251566e-17,-2.2204460492503132e-17,-0.011111111111111117,0.0,0.0,-0.016666666666666673,-0.03333333333333335,-0.08333333333333336,0.016666666666666653
1,0.015000000000000024,0.0,0.010000000000000009,0.0,0.025000000000000022,0.0,0.03500000000000003,0.0,0.015000000000000003,0.03500000000000002
2,-0.02857142857142857,0.028571428571428536,-0.005714285714285739,-0.09714285714285713,-2.2204460492503132e-17,0.0,0.0,0.0,0.01142857142857141,-0.017142857142857147
3,-1.1102230246251566e-17,0.05263157894736844,-0.05263157894736843,-0.005263157894736814,-0.01578947368421051,0.0,-0.0052631578947368255,0.0,-0.0894736842105263,-0.10526315789473688
4,0.015384615384615396,-0.019230769230769253,0.023076923076923106,-0.0038461538461538546,0.0,0.0,0.09615384615384612,0.0,0.023076923076923106,0.02692307692307694
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.07027027027027022,0.005405405405405394,0.027027027027026973,0.016216216216216182,0.005405405405405373,0.0,0.027027027027026973,0.027027027027026973,0.005405405405405394,0.021621621621621578
7,0.14666666666666672,-0.01333333333333333,0.026666666666666682,0.0,0.08000000000000004,0.0,0.13333333333333336,0.0,0.0,0.02666666666666666
8,0.06804123711340208,0.0,0.004123711340206215,0.024742268041237157,-0.006185567010309234,0.0,0.04742268041237117,0.03711340206185569,0.010309278350515516,0.004123711340206215
9,-0.011475409836065587,0.0032786885245901674,0.02786885245901636,-0.011475409836065587,0.0049180327868852515,0.0,0.02459016393442619,0.016393442622950838,0.04590163934426228,-0.02131147540983609
10,0.014285714285714258,0.028571428571428515,0.014285714285714235,0.01904761904761898,0.00952380952380949,0.0,0.049999999999999954,0.03571428571428566,0.06904761904761898,-0.0023809523809523946
11,-0.00833333333333337,0.027777777777777724,-0.013888888888888905,0.008333333333333281,-0.002777777777777812,0.0,0.09722222222222217,0.0,0.002777777777777746,-0.00555555555555558
12,-0.010256410256410265,0.0,0.0,0.0,0.0,0.0,0.08205128205128204,-1.1102230246251566e-17,0.025641025641025616,0.0
13,-0.0020408163265306146,0.0020408163265306146,0.006122448979591843,-0.016326530612244917,0.004081632653061229,0.0,0.07346938775510203,0.042857142857142885,0.028571428571428602,0.014285714285714301
