,entrophy,rexp,ns,fix,nuc,ld,ndev,sexp,age
0,0.00048076923076922906,-4.4408920985006264e-17,0.0,0.0,0.0014423076923076872,0.0014423076923076872,0.00048076923076922906,0.001442307692307665,0.001442307692307665
1,0.004958677685950397,0.007933884297520621,0.0,-0.0009917355371900972,-0.0033057851239669755,0.019504132231404948,0.0013223140495867592,-0.007603305785123982,0.0016528925619834433
2,-0.019469026548672618,-0.007787610619469065,0.0003539823008849474,-0.0028318584070797124,-0.022300884955752266,-4.4408920985006264e-17,0.007433628318584029,-0.005309734513274367,0.001769911504424737
3,0.02749999999999999,0.0030000000000000248,0.0,-0.0004999999999999672,0.019000000000000017,0.013500000000000022,0.022,0.02350000000000001,0.013500000000000022
4,0.003658536585365857,-0.010365853658536595,0.0,-0.004878048780487809,-0.02195121951219514,-0.004878048780487809,-0.0012195121951219523,-0.023170731707317094,-0.024390243902439046
5,-0.005988023952095833,0.026347305389221542,0.0,-0.0035928143712575357,-0.020359281437125776,0.013173652694610771,-0.005988023952095811,0.009580838323353259,0.028742514970059842
6,-0.0037735849056603765,0.0,0.0,0.0,-0.04150943396226414,-0.02264150943396226,0.01132075471698113,0.015094339622641506,0.04150943396226418
7,0.08888888888888893,0.0,0.0,0.0,-0.02222222222222219,-0.02222222222222221,0.11111111111111116,0.0,-0.11111111111111108
8,0.04897959183673466,-0.008163265306122458,0.0,0.004081632653061229,-0.012244897959183687,0.05714285714285712,0.008163265306122458,-0.008163265306122481,0.048979591836734684
9,0.003225806451612856,0.0032258064516129,0.0,0.019354838709677403,0.003225806451612856,-4.4408920985006264e-17,0.0,-0.02258064516129039,0.06129032258064511
10,0.0044444444444444505,0.0,0.0,0.022222222222222233,0.04444444444444442,-0.02666666666666666,0.0,0.03111111111111109,0.07555555555555553
11,0.009411764705882342,0.023529411764705865,0.0,0.0,-0.004705882352941138,-0.028235294117647046,0.0,0.0,0.06588235294117648
12,0.028571428571428515,-0.02653061224489799,0.0,0.004081632653061185,0.014285714285714235,0.018367346938775442,0.0,-0.0020408163265306367,0.09387755102040811
13,0.014141414141414121,0.10707070707070705,0.0,-0.002020202020202011,0.03838383838383837,0.04444444444444444,0.0,0.002020202020202011,0.04444444444444442
14,-0.02142857142857142,-0.00714285714285714,0.0,0.0,0.021428571428571443,0.09285714285714283,0.0,0.00714285714285714,-0.00714285714285714
15,-0.025,0.0,0.0,0.0,-0.05,-0.075,0.0,0.0,0.0
