,ns,entrophy,ndev,la,lt,sexp,ld,age,exp,nd,nuc,fix
0,-0.0005106382978723456,0.0024964539007092503,-0.012539007092198596,-0.01895035460992909,0.008226950354609918,0.0007375886524822794,-0.013446808510638286,0.0037446808510638308,0.0013617021276595808,-0.001872340425531882,-0.010666666666666647,0.00011347517730497803
1,0.002594142259414256,0.0020920502092050875,-0.009539748953974848,-0.010460251046025082,0.0038493723849372776,0.006443514644351511,-0.014393305439330484,0.019414225941422635,0.009288702928870341,0.014728033472803404,-0.01824267782426776,-0.002426778242677785
2,-0.003015814637734393,-0.020448694372931175,-0.0050018389113643865,-0.025965428466347862,0.005296064729680072,-0.006105185730047746,-0.014490621552041127,0.048841485840382545,0.0018389113644722733,0.004560500183891203,-0.015079073188672253,-0.002280250091945524
3,-0.001782304264799417,-0.013621896880967488,-0.009739019732654319,-0.016231699554423894,-0.009102482495225916,-0.0003819223424569973,-0.01464035646085291,-0.005919796308083969,-0.001336728198599557,-0.003819223424570306,-0.016040738383195353,-0.0007001909611711543
4,0.002686280780300576,-0.005500479692996519,-0.002942117045091197,-0.028141989126958776,0.001598976654940798,-0.0026223217141030154,-0.013431403901503103,0.016309561880396516,-0.0021746082507196006,0.0035817077070674497,-0.011064918452190643,-0.0007035497281740355
5,0.0,-0.030436492331891496,-0.00023594180102244345,0.012819504522217829,-0.009044435705859267,-0.00023594180102244345,-0.0058198977585529384,0.0056626032245379095,-0.0012583562721195873,0.0,-0.0230436492331892,-0.002752654345261507
6,-0.0001391788448155573,-0.03549060542797491,-0.021572720946416112,-0.014196242171189932,-0.0026443980514961217,-0.0038970076548364265,-0.013221990257480831,-0.00542797494780789,0.0008350730688935437,-0.003618649965205245,-0.028531663187195487,-0.0029227557411273253
7,-0.0006027727546714879,-0.006027727546714878,-0.014104882459312828,-0.016636528028933072,-0.0018083182640144635,-0.004581072935503317,-0.009041591320072317,-0.002772754671488853,-0.0034960819770946338,-0.0016877637130801482,-0.006389391199517758,-0.0013261000602772465
8,-0.0003153330705558233,-0.003547497043752501,-0.0026014978320851646,-0.005597162002365019,0.0027591643673629874,-0.003547497043752501,-0.005912495072920821,-0.002522664564446231,-0.0021284982262515183,-0.0008671659440284251,-0.0038628301143082576,-0.002049664958612607
9,-0.0037632776934749313,-0.00036418816388466,-0.015660091047040935,-0.020212443095599376,-0.0014567526555386624,-0.016934749620637325,-0.02166919575113806,0.008012139605462853,-0.014931714719271594,-0.009893778452200297,-0.013535660091047008,-0.0008497723823975622
10,-0.00026975991367683694,-0.002373887240356143,-0.0058807661181548895,-0.01980037766387921,0.014135419476665745,-0.00026975991367688134,-0.025627191799298687,-0.004855678446182954,0.0008632317237657894,-0.009441596978689005,-0.020987321284057225,-0.001510655516590287
11,0.00020871380120013328,-0.002765457865901366,-0.001982781111400955,0.0002608922515001888,0.00641794938690321,-0.0004696060527001666,-0.0033915992695016995,-0.0020349595617009664,0.002295851813201177,0.002348030263501233,-0.0013566397078006442,0.002034959561701033
12,0.000819413803970992,0.0014497321147179053,0.0002521273242987121,-0.006051055783170512,0.003592814371257447,0.0020800504254648413,-0.0055468011345729765,-0.0005672864796722798,0.00712259691144026,-0.006870469587141548,-0.010211156634100238,0.00712259691144026
13,-0.000897592819257409,0.0026111791105671413,-0.006201550387596888,-0.011423908608731126,-0.008894328845369271,-0.00620155038759691,-0.002855977152182776,0.004895960832313362,-0.007017543859649122,-0.007180742554059561,-0.002447980416156659,-0.000571195430436533
14,0.0023246492985972145,-0.011062124248496952,-0.014348697394789545,-0.007695390781563072,-0.008737474949899782,-0.0032064128256512835,-0.0070541082164328195,0.0004809619238477225,0.005691382765531094,-0.003927855711422823,-0.0075350701402805195,0.0018436873747495364
15,-0.0037764350453172836,-0.004984894259818762,-0.007250755287009136,0.02092145015105733,0.014728096676737112,-0.012160120845921506,-0.01555891238670697,0.008987915407854907,-0.006570996978852018,-0.006344410876132978,-0.010498489425981927,-7.552870090636876e-05
16,0.0008670520231213619,-0.015028901734104117,-0.0064306358381503335,-0.015895953757225457,-0.006647398843930663,-0.009465317919075211,-0.020375722543352646,-0.0014450867052023587,-0.005924855491329528,-0.0019508670520231642,-0.002528901734104072,0.004624277456647352
17,-0.0007183908045977017,-0.009267241379310365,0.0005028735632183646,-0.023563218390804618,-0.00323275862068968,-0.007830459770114961,-0.01724137931034484,0.007686781609195359,0.002442528735632177,0.005531609195402298,0.007543103448275868,0.001221264367816044
