,la,nuc,lt,age,ld,ns,rexp,ndev,entrophy,exp
0,0.004587155963302747,0.002752293577981635,0.000917431192660545,0.008256880733944927,0.00366972477064218,0.0,0.0,0.0,-0.0009174311926605672,0.009174311926605495
1,0.0019417475728155554,0.0,0.0,0.0012944983818770517,0.0,0.0,0.0,0.004530744336569614,0.0,0.006472491909385147
2,0.04911032028469746,0.007117437722419906,0.003558718861209953,0.005693950177935924,0.034875444839857626,-0.003558718861209953,0.004270462633451944,0.002135231316725972,-0.0007117437722420128,0.02348754448398571
3,0.02025782688766109,-0.00441988950276242,0.002946593001841613,-0.010681399631675892,0.015837937384898672,-0.022099447513812164,0.0007366482504604033,-0.001104972375690605,-0.02320441988950279,0.0036832412523020164
4,0.009090909090909104,0.0018181818181818299,0.0018181818181818299,0.000454545454545463,0.008181818181818202,0.000454545454545463,0.0,0.000909090909090926,0.00045454545454548523,0.01636363636363638
5,0.0006968641114982521,0.0,0.0006968641114982521,0.0,-0.002090592334494756,0.0,0.006968641114982632,0.0027874564459930305,0.0,0.014634146341463428
6,0.03809523809523811,-0.0011904761904761862,0.0017857142857142794,0.0011904761904762084,0.025,-0.005952380952380931,0.0011904761904761862,-0.0023809523809523725,0.010119047619047628,0.0011904761904762084
7,0.03218390804597702,0.0011494252873563316,-0.007471264367816088,-0.004597701149425304,0.012643678160919557,-0.006896551724137945,-0.0011494252873563316,0.013218390804597724,0.0011494252873563316,0.008045977011494254
8,0.03314606741573038,-0.0022471910112359162,0.003370786516853985,0.0005617977528090234,0.003932584269662987,0.0011235955056179802,-0.0022471910112359162,0.053932584269662964,-0.0044943820224718324,-0.008426966292134751
9,0.02582417582417589,-0.00219780219780219,0.000549450549450592,0.002197802197802279,0.024725274725274794,-0.009890109890109832,0.0005494505494505697,-0.009340659340659285,0.017032967032967104,-0.007142857142857095
10,0.04541062801932372,0.0019323671497584848,0.0025764895330112835,0.006441223832528209,0.03156199677938811,0.010628019323671545,-0.0035426731078904263,0.0038647342995169255,0.019323671497584582,0.0012882447665056417
