,lt,exp,age,ndev,sexp,rexp,la,ns,ld,fix,nuc
0,0.0,0.0,0.0,0.0,0.0,0.0,0.06424242424242421,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.10505050505050506,0.0,0.0,0.0,0.0
2,0.0007604562737642429,-0.006844106463878364,-0.017490494296578007,0.0,-0.013688212927756727,-0.013688212927756682,0.041825095057034176,0.0,0.0007604562737642429,0.0,-0.0015209125475285745
3,0.023232323232323205,0.0732323232323232,0.0020202020202019664,0.0,0.025757575757575736,0.0,0.06212121212121209,0.0,0.0,0.0,0.0
4,0.02258823529411762,0.018352941176470572,0.010823529411764676,-0.0014117647058824012,0.017411764705882328,0.0023529411764705577,0.09317647058823526,-0.0014117647058824012,-0.016941176470588258,-0.006117647058823538,0.026823529411764645
5,0.020708446866485007,-0.02125340599455039,0.0,0.005449591280653943,-0.02397820163487736,-0.010899182561307863,0.020708446866485007,0.0,0.0,0.0,0.0010899182561308063
6,0.016718266253870028,0.008668730650154855,0.0,0.003405572755418018,0.012383900928792624,0.00061919504643968,0.11145510835913316,0.009597523219814285,0.019504643962848345,0.0,0.013003095975232238
7,0.0,-0.04875912408759129,0.0,0.0,0.0,0.0,0.10014598540145983,0.0,0.0,0.0,0.0
8,-0.006047516198704139,0.031101511879049658,0.033693304535637146,0.0241900647948164,-0.006479481641468721,-0.004319654427645814,0.16846652267818574,0.0004319654427645814,-0.0030237580993520696,-0.0038876889848812324,0.0017278617710583034
9,0.04331210191082813,0.0,0.0,0.013375796178344057,0.10891719745222939,0.0,0.08598726114649691,0.0,0.0,0.0,0.009554140127388644
10,0.015686274509803866,0.028921568627450944,-0.0014705882352941569,0.016666666666666607,0.038725490196078384,-0.000490196078431393,0.08823529411764701,0.006862745098039191,-0.0029411764705882916,0.0,0.008333333333333304
11,0.0065306122448979265,0.007755102040816286,-0.0008163265306122547,0.016734693877551,0.041632653061224455,0.03306122448979587,0.07591836734693876,0.0,-0.020816326530612293,0.0,0.004081632653061185
12,0.0,0.0,0.0,0.0,0.0,0.0,0.22787878787878785,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.20601503759398493,0.0,0.0,0.0,0.0
14,-0.006428571428571428,-0.0035714285714285587,0.003571428571428581,0.0035714285714285587,0.005714285714285716,0.0,0.11142857142857143,0.0,-0.00857142857142854,0.0,0.011428571428571455
15,0.010526315789473694,0.05814536340852132,-0.005012531328320779,0.0,0.06015037593984964,2.2204460492503132e-17,0.08370927318295743,0.0,0.0,0.0,-0.0005012531328320247
16,0.0,0.0,0.00894568690095845,0.0,0.0,0.0,0.13162939297124598,0.0,0.0,0.0,0.0
17,0.0,-0.0321428571428571,0.0,0.0,0.044642857142857206,0.0,-0.008928571428571374,0.0,0.0,0.0,0.0
18,0.0,0.02935153583617751,0.0,0.0,0.0,-0.028668941979522123,0.12354948805460757,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.20206185567010304,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.20952380952380945,0.0,0.0,0.0,0.0
