,ndev,ld,lt,nd,fix,sexp,ns,nuc,la,entrophy,age,exp
0,-0.03449645390070921,0.0007943262411348017,-0.009078014184397132,0.0022695035460993163,0.007773049645390095,-0.025248226950354603,0.0028936170212765953,-0.016283687943262383,0.0008510638297872352,0.003234042553191485,-0.0008510638297872131,-0.03052482269503547
1,-0.00828451882845187,-0.0006694560669455951,-0.0031799163179916158,0.0005857740585773818,0.0030962343096234022,-0.029539748953974886,0.006192468619246871,-0.023682008368200825,0.0011715481171548081,0.0017573221757322122,8.368200836819106e-05,-0.022510460251046038
2,-0.004854726002206711,-0.00022066936373668077,0.010077234277307823,-0.001986024273630038,-0.01743287973519676,-0.020301581463773432,0.001838911364472251,-0.015814637734461214,0.0025009194556822266,0.0032364840014711183,0.002280250091945546,-0.02787789628539905
3,-0.012285168682367953,0.0003182686187142014,-0.01985996180776577,0.00464672183322723,-0.0005728835136855848,-0.012539783577339291,-6.365372374284028e-05,-0.007829408020369199,0.0009548058561426043,0.006938255887969436,0.003055378739656267,-0.015149586250795677
4,-0.03210745123121199,0.00019187719859294904,-0.04579469139750551,-0.001982731052126585,0.012472017908538602,0.009593859929645055,0.0028781579788935696,-0.015222257755036717,0.0007675087943716852,0.0151582986888392,0.00281419891269592,0.0031339942436840796
5,-0.03271726307510812,-0.00047188360204479806,-0.03012190326386153,0.0019661816751868288,0.0029099488792764692,-0.00629178136059767,0.004089657884388554,-0.02430200550530868,0.0007864726700747227,0.011797090051120751,0.0003932363350373835,-0.0021234762092016803
6,-0.03493389004871257,0.00027835768963120345,-0.02045929018789141,0.0002783576896312256,0.010160055671537993,-0.013082811412665207,-0.0012526096033402378,-0.008211551844119657,0.0013917884481559062,0.0019485038274182688,-0.0005567153792622959,-0.005288796102992288
7,-0.030982519590114464,0.0012055455093430423,-0.018565400843881807,0.0015672091621459217,0.006509945750452095,-0.00988547317661237,0.004460518384569045,-0.019770946353224784,0.0020494273658831163,0.007474382157926529,0.0006027727546715322,-0.01229656419529832
8,-0.036342136381553036,0.0007094994087504692,-0.002680331099724098,-0.0033898305084745896,-0.002837997635001965,-0.015845486795427677,-0.0014978320851399384,-0.0397319668900276,0.004493496255419793,0.0045723295230587265,0.0,-0.01757981868348446
9,-0.02968133535660091,-0.0007890743550835078,0.008133535660090984,-0.00449165402124434,-2.2204460492503132e-17,-0.035144157814871055,-0.0007283763277693867,-0.03368740515933233,0.0008497723823975622,-0.003520485584218536,0.0021851289833080046,-0.007526555386949974
10,-0.03593202050175348,-0.00026975991367683694,0.016940922578904716,-0.005179390342595136,-0.012301052063663387,0.0010250876719719137,0.00010790396547071257,-0.017912058268141417,0.0006474237928243643,-0.0033450229295926893,0.0013487995683840737,0.005179390342595047
