,la,nuc,fix,lt,age,ld,ns,nd,ndev,entrophy,exp
0,-0.0027053140096618745,0.012753623188405783,0.0030917874396134914,-0.004830917874396157,-0.00521739130434784,-0.0032850241545894,-0.00038647342995168366,-0.0038647342995169255,0.005797101449275366,-0.0027053140096618966,-0.0015458937198067567
1,0.0033976833976834264,-0.00015444015444012748,0.012355212355212386,0.018687258687258713,-0.00015444015444012748,0.002007722007722046,-0.005405405405405383,0.0021621621621621843,0.003243243243243277,-0.000463320463320438,0.0004633204633204824
2,-0.003286034353995526,0.004480955937266606,0.0010455563853622063,-0.013293502613890978,-0.0016430171769977742,-0.005825242718446616,-0.007318894697535483,0.01000746825989543,-0.005825242718446616,0.011650485436893199,-0.014040328603435409
3,0.0027363184079601368,-0.006840796019900552,0.001368159203980035,0.0006218905472636482,-0.008955223880597062,-0.00024875621890552146,-0.003233830845771202,-0.014552238805970208,0.0021144278606964662,-0.012935323383084629,0.0001243781094526941
4,0.0003346346904629094,-0.0006692693809258188,-0.000557724484104849,0.001115448968209698,0.0004461795872838792,0.005577244841048578,0.02308979364194088,-0.0001115448968209698,0.0012269938650306678,0.000557724484104849,0.0001115448968209698
5,-0.0005639097744360555,-0.0007518796992481036,-0.0001879699248120259,0.000375939849624074,-0.0011278195488721777,0.005921052631578961,0.02067669172932334,2.2204460492503132e-17,0.000375939849624074,-0.0015037593984962294,-0.0010338345864661536
6,-0.0016242937853107708,-0.003036723163841848,0.00021186440677960493,0.0007768361581920625,-0.00303672316384187,0.000776836158192018,0.01998587570621464,0.0027542372881355524,-0.0004237288135593431,-0.0024717514124294572,-0.0005649717514124575
7,-0.001088599939522239,-0.0038705775627457363,0.0015724221348654144,0.002479588751133921,0.0003023888720894874,-0.0003628666465074204,0.017357121257937713,0.005261566374357418,-0.0016328999092833473,-0.0013909888116117486,6.04777744178886e-05
8,-0.00016515276630879594,-0.002972749793559015,0.00041288191577213416,0.002642444260941401,-8.257638315436466e-05,0.0011560693641618602,0.009991742361684564,0.002477291494632561,-0.0014863748967794744,-0.0035507844756399454,-0.0022295623451692227
9,0.001257861635220059,-0.0028751123090746235,0.007187780772686403,0.0007187780772685892,-0.005750224618149202,0.0016172506738543868,0.005031446540880458,-0.007906558849955125,0.001257861635220059,-0.005570530098832039,0.0017969451931715286
10,-0.0035906642728904536,-0.012567324955116699,-0.0037701974865349762,-0.015439856373429085,-0.005385996409335725,-0.003949730700179499,0.0037701974865349984,-0.008797127468581722,-0.005565529622980248,-0.016337522441651674,-0.0030520646319568854
11,-0.0020603384841794805,-0.008682855040470883,0.00014716703458428348,-0.007505518763796859,0.00824135393671821,-0.00014716703458421686,0.01074319352465054,0.0061810154525386626,0.00014716703458426129,-0.009713024282560646,-0.00044150110375273943
