,nd,ld,nuc,entrophy,sexp,ndev,lt,age,ns,exp,la,fix
0,0.015035460992907757,-0.010609929078014191,-0.0031773049645390074,0.02354609929078011,0.005900709219858147,-0.003574468085106397,0.019234042553191433,0.06428368794326238,0.003914893617021265,0.0055602836879432346,-0.019914893617021277,0.004198581560283676
1,0.0015899581589958523,-0.008702928870292847,-0.009205020920502082,-0.014058577405857697,0.0005020920502092352,0.019330543933054424,0.018577405857740613,0.019581589958159017,-8.368200836816886e-05,-0.009707112970711274,-0.01205020920502089,0.0012552301255230435
2,0.004634056638470008,-0.024200073556454572,-0.00492828245678556,0.003824935638102245,0.005737403457153345,-0.0011769032732621865,0.005884516366311132,0.05502022802500919,0.00095623390952555,-0.003310040456050034,-0.027804339830820157,-0.0030158146377344598
3,0.008720560152768985,-0.020114576702737065,-0.0032463399108847214,-0.00566518141311263,0.004073838319541756,-0.01534054742202413,-0.0016549968173137364,0.024952259707192948,0.0017186505410566877,-0.004837683004455706,-0.029217059197963025,0.0012094207511139875
4,0.010297409657819001,-0.021298369043811993,-0.0059481931563799325,0.008058842340901795,-0.009593859929645055,0.0023664854493124165,-0.0010233450591621506,0.021106491845219046,0.001918771985929002,0.004285257435241441,-0.03383434601854816,0.002302526383114767
5,0.0032245379473063275,-0.0011797090051120617,-0.00967361384191896,0.015336217066456959,0.002595359811246589,-0.0004718836020448203,0.005741250491545435,0.01887534408179319,0.0013370035391270462,-0.00015729453401491789,-0.011010617381046006,-0.0003932363350373391
6,-0.0013917884481559062,-0.02087682672233824,-0.01391788448155884,0.007933194154488477,-0.00570633263743916,0.007237299930410534,-0.005427974947808001,-0.0026443980514962106,-0.00027835768963120345,-0.016144745998608247,-0.01016005567153797,-0.012108559498956195
7,0.022182037371910778,-0.019891500904159098,0.0026522001205545598,0.0177215189873418,-0.0040988547317661215,-0.016998191681735976,-0.00675105485232066,0.035563592525617874,0.0021699819168173873,-0.009644364074743828,-0.012296564195298365,-0.009764918625678121
8,-0.0033898305084745896,-0.01568782026014979,-0.020733149389042183,0.0039416633819471915,-0.011982656681119419,-0.0014978320851399163,-0.002916830902640899,0.019235317303902245,-0.00023649980291682305,-0.014347654710287715,-0.007016160819865979,-0.002049664958612518
9,0.0054628224582701,-0.036479514415781476,-0.009529590288315615,-0.006373292867981784,-0.02306525037936269,-0.006130500758725366,0.005220030349013638,-6.069802731414331e-05,0.003034901365705611,-0.010743550834597881,-0.012078907435508346,0.002670713201820929
