,age,entrophy,exp,fix,la,ld,lt,ndev,ns,nuc
0,0.0,0.0,-0.035971795701557306,0.053349178043580296,-0.0,-0.0,0.054072832467333916,-0.0,0.0,0.10712953915305276
1,-0.0,0.0,-0.1163015924928893,0.053349178043580296,0.0,-0.0,0.013264657937846673,0.0,0.0,0.3149633529025224
2,0.0,0.0,-0.07071893150044513,0.053349178043580296,0.0,-0.0,0.09843417350315355,0.0,0.0,-0.12097927639854315
3,0.0,0.0,-0.05508334372866531,0.053349178043580296,-0.0,-0.0,0.08149447022622823,0.0,0.0,0.10981105005763919
4,0.0,-0.0,-0.0905952971048709,0.053349178043580296,-0.0,-0.0,-0.0917836861143971,-0.0,0.0,-0.24358596735778285
5,0.0,-0.0,-0.12742461248602718,0.053349178043580296,-0.0,-0.0,0.08128784555525954,-0.0,0.0,-0.2039034923367659
6,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
8,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
9,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
10,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
11,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
12,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
13,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
14,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
15,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
16,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
17,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
