,age,entrophy,exp,fix,la,ld,lt,ndev,ns,nuc
0,3.469446951953614e-17,0.5306216931216915,-0.005489417989418016,-0.004100529100529089,-0.012896825396825379,-0.0022486772486772326,-0.01197089947089944,6.938893903907228e-18,0.0,-0.021693121693121695
1,0.02685185185185137,0.21574074074073993,0.007407407407407342,-3.8163916471489756e-17,0.006018518518518489,0.001388888888888929,-0.0009259259259259342,6.938893903907228e-18,0.0,0.21574074074074043
2,1.3877787807814457e-17,0.5717592592592575,0.006944444444444536,1.214306433183765e-17,0.006944444444444439,-0.01851851851851851,8.673617379884035e-18,6.938893903907228e-18,0.0,-0.09490740740740733
3,8.326672684688674e-17,0.5194444444444427,-0.007407407407407379,-0.002314814814814799,-0.01342592592592591,-0.025462962962962903,-0.008333333333333323,6.938893903907228e-18,0.0,0.009722222222222228
4,-0.006481481481481546,-0.1875000000000004,0.02268518518518521,2.6020852139652106e-17,-0.009722222222222193,-0.07731481481481509,1.3877787807814457e-17,0.0,0.0,-0.2694444444444445
5,-0.006283068783068849,-0.1840608465608467,0.0275132275132276,1.214306433183765e-17,-0.010912698412698391,-0.08220899470899493,0.00019841269841270985,0.0,0.0,-0.2720238095238096
6,2.7755575615628914e-17,1.0408340855860843e-17,6.591949208711867e-17,-1.734723475976807e-17,0.03749999999999999,-1.734723475976807e-17,6.938893903907228e-18,0.03749999999999998,0.0,0.0
7,2.7755575615628914e-17,1.0408340855860843e-17,6.591949208711867e-17,-1.734723475976807e-17,0.03749999999999999,-1.734723475976807e-17,6.938893903907228e-18,0.03749999999999998,0.0,0.0
8,-2.7755575615628914e-17,-2.42861286636753e-17,3.122502256758253e-17,3.469446951953614e-18,-0.012500000000000008,-2.42861286636753e-17,3.469446951953614e-18,0.08750000000000001,0.0,0.0
9,6.938893903907228e-17,1.0408340855860843e-17,-3.469446951953614e-18,-3.469446951953614e-18,-0.1187499999999998,-0.02708333333333329,3.469446951953614e-18,-0.7770833333333333,0.0,-0.0020833333333333363
10,-2.7755575615628914e-17,-2.42861286636753e-17,3.122502256758253e-17,3.469446951953614e-18,-0.012500000000000008,-2.42861286636753e-17,3.469446951953614e-18,0.08750000000000001,0.0,0.0
11,-2.7755575615628914e-17,-2.42861286636753e-17,3.122502256758253e-17,3.469446951953614e-18,-0.012500000000000008,-2.42861286636753e-17,3.469446951953614e-18,0.08750000000000001,0.0,0.0
12,-2.7755575615628914e-17,-2.42861286636753e-17,3.122502256758253e-17,3.469446951953614e-18,-0.012500000000000008,-2.42861286636753e-17,3.469446951953614e-18,0.08750000000000001,0.0,0.0
13,2.7755575615628914e-17,1.0408340855860843e-17,6.591949208711867e-17,-1.734723475976807e-17,0.03749999999999999,-1.734723475976807e-17,6.938893903907228e-18,0.03749999999999998,0.0,0.0
14,-2.7755575615628914e-17,-2.42861286636753e-17,3.122502256758253e-17,3.469446951953614e-18,-0.012500000000000008,-2.42861286636753e-17,3.469446951953614e-18,0.08750000000000001,0.0,0.0
15,-2.7755575615628914e-17,-2.42861286636753e-17,3.122502256758253e-17,3.469446951953614e-18,-0.012500000000000008,-2.42861286636753e-17,3.469446951953614e-18,0.08750000000000001,0.0,0.0
16,-2.7755575615628914e-17,-2.42861286636753e-17,3.122502256758253e-17,3.469446951953614e-18,-0.012500000000000008,-2.42861286636753e-17,3.469446951953614e-18,0.08750000000000001,0.0,0.0
17,-2.7755575615628914e-17,-2.42861286636753e-17,3.122502256758253e-17,3.469446951953614e-18,-0.012500000000000008,-2.42861286636753e-17,3.469446951953614e-18,0.08750000000000001,0.0,0.0
