,entrophy,exp,fix,la,ld,lt,ndev,ns,nuc,rexp
0,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,-0.23913043478260873,0.0,0.0,0.0,0.0,0.0,0.0
54,0.4789079490020892,-0.08211865070892813,0.009427004317890066,0.028757695803536237,0.01740576496674058,0.0,0.0,0.0,-0.03558239814772916,0.08320263476640113
55,-0.25298662934087796,-0.035925160998921804,0.0010826763570666001,0.008931247963506032,0.03250852016095918,0.0,0.0,0.0,-0.22321692535107168,-0.03039372879066034
56,-0.23886581193524545,0.1714944984860406,0.0010826763570666001,0.010185728250244382,0.03250852016095918,0.0,0.0,0.0,-0.4386004352467767,-0.03780517607228858
57,0.4576164456273363,0.13321522191144125,-0.017469949819115413,0.09125122189638323,0.012195121951219513,0.0,0.0,0.0,-0.1439578713968958,-0.03285019017036906
58,0.006596436539291352,-0.41316838307293413,0.005905525796411545,-0.024596731319991058,0.05749068005165567,0.0,0.0,0.0,0.15644254119863876,-0.2886700691930722
59,0.010421000743581373,-0.033309574236993586,-0.0013845876345876338,0.008931247963506032,0.06093864468864469,0.0,0.0,0.0,0.2674283586783586,0.1869749097974905
60,-0.1957064597588791,-0.033309574236993586,0.01038159371492705,0.017416096448354512,-0.014656986531986528,0.0,0.0,0.0,-0.4486377665544332,0.16451309691901095
61,0.002547186396552806,0.19315672566680628,0.00044191919191919303,0.019183773216031277,0.012563131313131307,0.0,0.0,0.0,0.10720991805813233,0.1648973461574269
62,-0.07247308123586646,-0.035925160998921804,0.05293243906048786,0.017416096448354512,0.06505365118169995,0.0,0.0,0.0,0.5023372799287433,-0.029341224384497325
63,-0.012300697201330818,-0.036914823154742496,0.00044191919191919303,0.017416096448354512,0.012563131313131307,0.0,0.0,0.0,0.059882476980691254,0.4589118964219771
64,0.006596436539291352,-0.41316838307293413,0.005905525796411545,-0.024596731319991058,0.05749068005165567,0.0,0.0,0.0,0.15644254119863876,-0.2886700691930722
