,age,entrophy,exp,fix,la,ld,lt,ndev,ns,nuc
0,0.0,0.0,0.024038461538461536,0.0,0.19653032153032152,0.16959198209198212,-0.056827431827431815,0.0,0.0,0.0
1,0.0,0.0,0.024038461538461536,0.0,-0.4477004477004476,0.06382275132275134,-0.056827431827431815,0.0,0.0,0.0
2,0.0,0.0,0.024038461538461536,0.0,-0.5231990231990231,0.07165750915750915,0.010836385836385853,0.0,0.0,0.0
3,0.0,0.0,0.024038461538461536,0.0,0.12103174603174605,0.1774267399267399,0.010836385836385853,0.0,0.0,0.0
4,0.0,0.0,0.024038461538461536,0.0,0.19653032153032152,0.16959198209198212,-0.056827431827431815,0.0,0.0,0.0
5,0.0,0.0,0.024038461538461536,0.0,0.12103174603174605,0.1774267399267399,0.010836385836385853,0.0,0.0,0.0
6,0.0,0.0,0.14604579876319004,0.0,-0.02713963963963964,0.2577943061638713,0.04221845363149708,-0.013513513513513514,0.0,0.0
7,0.0,0.0,0.14604579876319004,0.0,-0.02713963963963964,0.2577943061638713,0.04221845363149708,-0.013513513513513514,0.0,0.0
8,0.0,0.0,0.15077552849291975,0.0,0.02713963963963964,0.17363514700471222,0.06736860378164725,-0.013513513513513514,0.0,0.0
9,0.0,0.0,0.11717943239682369,0.0,-0.009534534534534535,0.27539941126897644,0.008847582760626213,0.013513513513513514,0.0,0.0
10,0.0,0.0,0.15077552849291978,0.0,0.02713963963963964,0.17363514700471216,0.06736860378164725,-0.013513513513513514,0.0,0.0
11,0.0,0.0,0.1239933114933115,0.0,0.20748069498069507,-0.17335858585858593,0.26080349830349836,-0.013513513513513514,0.0,0.0
12,0.0,0.0,0.15077552849291978,0.0,0.02713963963963964,0.17363514700471216,0.06736860378164725,-0.013513513513513514,0.0,0.0
13,0.0,0.0,0.057739557739557745,0.0,-0.0310918060918061,-0.5077268827268829,-0.10000195000195002,-0.013513513513513514,0.0,0.0
14,0.0,0.0,0.14604579876319004,0.0,-0.02713963963963964,0.2577943061638713,0.04221845363149708,-0.013513513513513514,0.0,0.0
15,0.0,0.0,0.06746177996177996,0.0,-0.207480694980695,-0.4498815373815376,0.00881937131937134,-0.013513513513513514,0.0,0.0
16,0.0,0.0,0.1239933114933115,0.0,0.20748069498069507,-0.17335858585858593,0.26080349830349836,-0.013513513513513514,0.0,0.0
17,0.0,0.0,0.10311561561561561,0.0,0.20748069498069507,0.13682432432432437,-0.02850171600171597,-0.013513513513513514,0.0,0.0
18,0.0,0.0,-0.715,0.00874999999999998,0.03125,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,-0.715,0.00874999999999998,0.03125,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,-0.715,0.10249999999999998,-0.0625,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,-0.715,0.10249999999999998,-0.0625,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,-0.715,0.00874999999999998,0.03125,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,-0.715,0.00874999999999998,0.03125,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,-0.715,0.00874999999999998,0.03125,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,-0.27499999999999997,-0.014583333333333226,0.11458333333333334,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,-0.715,0.10249999999999998,-0.0625,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,-0.715,0.10249999999999998,-0.0625,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,-0.715,0.10249999999999998,-0.0625,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,-0.715,0.00874999999999998,0.03125,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,-0.27499999999999997,-0.17083333333333325,-0.22916666666666666,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,-0.715,0.00874999999999998,0.03125,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,-0.715,0.10249999999999998,-0.0625,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,-0.715,0.00874999999999998,0.03125,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,-0.27499999999999997,-0.17083333333333325,-0.22916666666666666,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,-0.27499999999999997,-0.17083333333333325,-0.22916666666666666,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,-0.27499999999999997,-0.17083333333333325,-0.22916666666666666,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,-0.27499999999999997,-0.17083333333333325,-0.22916666666666666,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,-0.27499999999999997,-0.17083333333333325,-0.22916666666666666,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.07957487056949417,-0.1219633612106732,0.18822182397451215,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
61,0.0,0.07957487056949417,-0.1219633612106732,0.18822182397451215,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
62,0.0,0.07957487056949417,-0.1219633612106732,0.18822182397451215,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
63,0.0,-0.7086419753086419,-0.0771604938271605,0.06635802469135803,-0.11388888888888889,0.0,0.0,0.0,0.0,0.0
64,0.0,-0.7086419753086419,-0.0771604938271605,0.06635802469135803,-0.11388888888888889,0.0,0.0,0.0,0.0,0.0
65,0.0,0.11429709279171638,-0.1219633612106732,0.18822182397451215,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
66,0.0,0.07957487056949417,-0.1219633612106732,0.18822182397451215,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
67,0.0,0.12201314217443243,0.02927120669056153,0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
68,0.0,0.12201314217443243,0.02927120669056153,0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
69,0.0,0.11902628434886492,0.0908004778972521,-0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
70,0.0,-0.7564814814814814,0.01851851851851853,0.01851851851851852,-0.11388888888888889,0.0,0.0,0.0,0.0,0.0
71,0.0,0.11902628434886492,0.0908004778972521,-0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
72,0.0,-0.7564814814814814,0.01851851851851853,0.01851851851851852,-0.11388888888888889,0.0,0.0,0.0,0.0,0.0
73,0.0,0.12201314217443243,0.02927120669056153,0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
74,0.0,0.08729091995221022,0.02927120669056153,0.02927120669056153,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
75,0.0,0.11902628434886492,0.0908004778972521,-0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
76,0.0,0.11902628434886492,0.0908004778972521,-0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
77,0.0,-0.7564814814814814,0.01851851851851853,0.01851851851851852,-0.11388888888888889,0.0,0.0,0.0,0.0,0.0
78,0.0,0.11902628434886492,0.0908004778972521,-0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
79,0.0,-0.7564814814814814,0.01851851851851853,0.01851851851851852,-0.11388888888888889,0.0,0.0,0.0,0.0,0.0
80,0.0,0.12201314217443243,0.02927120669056153,0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
81,0.0,0.11902628434886492,0.0908004778972521,-0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
82,0.0,0.11902628434886492,0.0908004778972521,-0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
83,0.0,0.11902628434886492,0.0908004778972521,-0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
84,0.0,-0.5226851851851851,0.037037037037037056,-0.01851851851851852,0.1708333333333333,0.0,0.0,0.0,0.0,0.0
85,0.0,0.12201314217443243,0.02927120669056153,0.02927120669056153,-0.01388888888888889,0.0,0.0,0.0,0.0,0.0
86,0.0,0.08729091995221022,0.02927120669056153,0.02927120669056153,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.18819444444444436,0.1881944444444444,0.0,0.0,0.010416666666666666,0.0,0.0,-0.08680555555555554
88,0.0,0.0,0.15216049382716043,0.1521604938271605,0.0,0.0,-0.008796296296296297,0.0,0.0,0.004475308641975318
89,0.0,0.0,0.4911931818181817,-0.05988005050505049,0.0,0.0,0.014993686868686868,0.0,0.0,-0.14630681818181818
90,0.0,0.0,0.13981481481481475,0.1398148148148148,0.0,0.0,0.014660493827160493,0.0,0.0,0.005709876543209886
91,0.0,0.0,0.4911931818181817,-0.05988005050505049,0.0,0.0,0.014993686868686868,0.0,0.0,-0.14630681818181818
92,0.0,0.0,0.19374999999999992,0.19374999999999998,0.0,0.0,-0.00625,0.0,0.0,-0.08124999999999999
93,0.0,0.0,0.13981481481481475,0.1398148148148148,0.0,0.0,0.014660493827160493,0.0,0.0,0.005709876543209886
94,0.0,0.0,0.12793209876543202,0.12793209876543207,0.0,0.0,0.014660493827160493,0.0,0.0,0.02947530864197531
95,0.0,0.0,0.5040719696969695,-0.061647727272727264,0.0,0.0,-0.008996212121212124,0.0,0.0,-0.1334280303030303
96,0.0,0.0,0.30967312008978665,-0.04448653198653196,0.0,0.0,0.024831649831649833,0.0,0.0,0.009981762065095413
97,0.0,0.0,0.12793209876543202,0.12793209876543207,0.0,0.0,0.014660493827160493,0.0,0.0,0.02947530864197531
98,0.0,0.0,0.30967312008978665,-0.04448653198653196,0.0,0.0,0.024831649831649833,0.0,0.0,0.009981762065095413
99,0.0,0.0,0.18819444444444436,0.1881944444444444,0.0,0.0,0.010416666666666666,0.0,0.0,-0.08680555555555554
100,0.0,0.0,0.15216049382716043,0.1521604938271605,0.0,0.0,-0.008796296296296297,0.0,0.0,0.004475308641975318
101,0.0,0.0,0.2664632435465767,-0.04070566778900109,0.0,0.0,0.024831649831649833,0.0,0.0,0.04941077441077443
102,0.0,0.0,0.30967312008978665,-0.04448653198653196,0.0,0.0,0.024831649831649833,0.0,0.0,0.009981762065095413
103,0.0,0.0,0.3129840067340066,-0.04463383838383835,0.0,0.0,-0.014898989898989905,0.0,0.0,0.046548821548821576
104,0.0,0.0,0.35619388327721657,-0.04841470258136923,0.0,0.0,-0.014898989898989905,0.0,0.0,0.007119809203142552
105,0.0,0.0,0.12793209876543202,0.12793209876543207,0.0,0.0,0.014660493827160493,0.0,0.0,0.02947530864197531
106,0.0,0.0,0.1402777777777777,0.14027777777777775,0.0,0.0,-0.008796296296296297,0.0,0.0,0.02824074074074074
107,0.0,0.0,0.19374999999999992,0.19374999999999998,0.0,0.0,-0.00625,0.0,0.0,-0.08124999999999999
108,0.0,0.0,0.4911931818181817,-0.05988005050505049,0.0,0.0,0.014993686868686868,0.0,0.0,-0.14630681818181818
109,0.0,0.0,0.15216049382716043,0.1521604938271605,0.0,0.0,-0.008796296296296297,0.0,0.0,0.004475308641975318
110,0.0,0.0,0.15216049382716043,0.1521604938271605,0.0,0.0,-0.008796296296296297,0.0,0.0,0.004475308641975318
111,0.0,0.0,0.19374999999999992,0.19374999999999998,0.0,0.0,-0.00625,0.0,0.0,-0.08124999999999999
112,0.0,0.0,0.0,0.0,0.0497076023391813,0.16374269005847955,0.0,0.260233918128655,0.0,0.0
113,0.0,0.0,0.0,0.0,-0.351940457203615,0.1743753322700691,0.0,-0.3487506645401382,0.0,0.0
114,0.0,0.0,0.0,0.0,0.03269537480063796,-0.182615629984051,0.0,-0.3763955342902711,0.0,0.0
115,0.0,0.0,0.0,0.0,0.03269537480063796,-0.182615629984051,0.0,-0.3763955342902711,0.0,0.0
116,0.0,0.0,0.0,0.0,-0.09941520467836257,0.0935672514619883,0.0,0.4795321637426901,0.0,0.0
117,0.0,0.0,0.0,0.0,0.03269537480063796,-0.182615629984051,0.0,-0.3763955342902711,0.0,0.0
118,0.0,0.0,0.0,0.0,0.01754385964912281,-0.06140350877192982,0.0,0.5175438596491229,0.0,0.0
119,0.0,0.0,0.0,0.0,0.01754385964912281,-0.06140350877192982,0.0,0.5175438596491229,0.0,0.0
120,0.0,0.0,0.0,0.0,0.01754385964912281,-0.06140350877192982,0.0,0.5175438596491229,0.0,0.0
